Unnamed: 0,TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
0,Climate Justice,Mary Robinson,Bloomsbury Publishing USA,"The antidote for your climate change paralysis. —Sierra Magazine An urgent call to arms by one of the most important voices in the international fight against climate change, sharing inspiring stories and offering vital lessons for the path forward. Holding her first grandchild in her arms in 2003, Mary Robinson was struck by the uncertainty of the world he had been born into. Before his fiftieth birthday, he would share the planet with more than nine billion people--people battling for food, water, and shelter in an increasingly volatile climate. The faceless, shadowy menace of climate change had become, in an instant, deeply personal. Mary Robinson’s mission would lead her all over the world, from Malawi to Mongolia, and to a heartening revelation: that an irrepressible driving force in the battle for climate justice could be found at the grassroots level, mainly among women, many of them mothers and grandmothers like herself. From Sharon Hanshaw, the Mississippi matriarch whose campaign began in her East Biloxi hair salon and culminated in her speaking at the United Nations, to Constance Okollet, a small farmer who transformed the fortunes of her ailing community in rural Uganda, Robinson met with ordinary people whose resilience and ingenuity had already unlocked extraordinary change. Powerful and deeply humane, Climate Justice is a stirring manifesto on one of the most pressing humanitarian issues of our time, and a lucid, affirmative, and well-argued case for hope. “As advocate for the forgotten and the ignored, Mary Robinson has not only shone a light on human suffering, but illuminated a better future for our world.” -Barack Obama",Climate_justice
1,Climate Justice,Mary Robinson,Bloomsbury Publishing,"Prologue : Marrakech -- Understanding climate justice -- Learning from lived experience -- The accidental activist -- Vanishing language, vanishing lands -- A seat at the table -- Small steps towards equality -- Migrating with dignity -- Taking responsibility -- Leaving no one behind -- Paris: the challenge of implementing.",Climate_justice
2,What Climate Justice Means And Why We Should Care,Elizabeth Cripps,Bloomsbury Publishing,"We owe it to our fellow humans – and other species – to save them from the catastrophic harm caused by climate change. Philosopher Elizabeth Cripps approaches climate justice not just as an abstract idea but as something that should motivate us all. Using clear reasoning and poignant examples, starting from irrefutable science and uncontroversial moral rules, she explores our obligations to each other and to the non-human world, unravels the legacy of colonialism and entrenched racism, and makes the case for immediate action. The second half of the book looks at solutions. Who should pay the bill for climate action? Who must have a say? How can we hold multinational companies, organisations – even nations – to account? Cripps argues powerfully that climate justice goes beyond political polarization. Climate activism is a moral duty, not a political choice.",Climate_justice
3,Climate Justice and Human Rights,Tracey Skillington,Springer,"This book shows that escalating climate destruction today is not the product of public indifference, but of the blocked democratic freedoms of peoples across the world to resist unwanted degrees of capitalist interference with their ecological fate or capacity to change the course of ecological disaster. The author assesses how this state of affairs might be reversed and the societal relevance of universal human rights rejuvenated. It explores how freedom from want, war, persecution and fear of ecological catastrophe might be better secured in the future through a democratic reorganization of procedures of natural resource management and problem resolution amongst self-determining communities. It looks at how increasing human vulnerability to climate destruction forms the basis of a new peoples-powered demand for greater climate justice, as well as a global movement for preventative action and reflexive societal learning.",Climate_justice
4,Climate Justice and Community Renewal,Brian Tokar & Tamra Gilbertson,Routledge,"This book brings together the voices of people from five continents who live, work and research on the front lines of climate resistance and renewal. The many contributors to this volume explore the impacts of extreme weather events in Africa, the Caribbean and on Pacific islands, experiences of life-long defenders of the land and forests in Brazil, India, Indonesia and eastern Canada, and efforts to halt the expansion of fossil fuel infrastructure from North America to South Africa. They offer various perspectives on how a just transition toward a fossil-free economy can take shape, as they share efforts to protect water resources, better feed their communities and implement new approaches to urban policy and energy democracy. Climate Justice and Community Renewal uniquely highlights the accounts of people who are directly engaged in local climate struggles and community renewal efforts, including on-the-ground land defenders, community organizers, leaders of international campaigns, agroecologists, activist-scholars and many others. It will appeal to students, researchers, activists, and all who appreciate the need for a truly justice-centered response to escalating climate disruptions.",Climate_justice
5,Local Activism for Global Climate Justice,Patricia E. Perkins,Routledge Advances in Climate Change Research,"This book will inspire and spark grassroots action to address the inequitable impacts of climate change, by showing how this can be tackled and the many benefits of doing so. With contributions from climate activists and engaged young authors, this volume explores the many ways in which people are proactively working to advance climate justice. The book pays special attention to Canada and the Great Lakes watershed, showing how the effects of climate change span local, regional, and global scales through the impact of extreme weather events such as floods and droughts, with related economic and social effects that cross political jurisdictions. Examining examples of local-level activism that include organizing for climate-resilient and equitable communities, the dynamic leadership of Indigenous peoples (especially women) for water and land protection, and diaspora networking, Local Activism for Global Climate Justice also provides theoretical perspectives on how individual action relates to broader social and political processes. Showcasing a diverse range of inspirational and thought-provoking case studies, this book will be of great interest to students and scholars of climate justice, climate change policy, climate ethics, and global environmental governance, as well as teachers and climate activists.",Climate_justice
6,Climate Justice and Non-state Actors,Jeremy Moss & Lachlan Umbers,Routledge,"This book investigates the relationship between non-state actors and climate justice from a philosophical perspective. The climate justice literature remains largely focused upon the rights and duties of states. Yet, for decades, states have failed to take adequate steps to address climate change. This has led some to suggest that, if severe climate change and its attendant harms are to be avoided, non-state actors are going to have to step into the breach. This collection represents the first attempt to systematically examine the climate duties of the most significant non-state actors - corporations, sub-national political communities, and individuals. Targeted at academic philosophers working on climate justice, this collection will also be of great interest to students and scholars of global justice, applied ethics, political philosophy and environmental humanities.",Climate_justice
7,"Resilience, Environmental Justice and the City",Beth Schaefer Caniglia & Manuel Vallee & Beatrice Frank,Routledge,"Urban centres are bastions of inequalities, where poverty, marginalization, segregation and health insecurity are magnified. Minorities and the poor – often residing in neighbourhoods characterized by degraded infrastructures, food and job insecurity, limited access to transport and health care, and other inadequate public services – are inherently vulnerable, especially at risk in times of shock or change as they lack the option to avoid, mitigate and adapt to threats. Offering both theoretical and practical approaches, this book proposes critical perspectives and an interdisciplinary lens on urban inequalities in light of individual, group, community and system vulnerabilities and resilience. Touching upon current research trends in food justice, environmental injustice through socio-spatial tactics and solution-based approaches towards urban community resilience, Resilience, Environmental Justice and the City promotes perspectives which transition away from the traditional discussions surrounding environmental justice and pinpoints the need to address urban social inequalities beyond the build environment, championing approaches that help embed social vulnerabilities and resilience in urban planning. With its methodological and dynamic approach to the intertwined nature of resilience and environmental justice in urban cities, this book will be of great interest to students, scholars and practitioners within urban studies, environmental management, environmental sociology and public administration.",Climate_justice
8,Environmental Justice in a Moment of Danger,Julie Sze,University of California Press,"“Let this book immerse you in the many worlds of environmental justice.”—Naomi Klein We are living in a precarious environmental and political moment. In the United States and in the world, environmental injustices have manifested across racial and class divides in devastatingly disproportionate ways. What does this moment of danger mean for the environment and for justice? What can we learn from environmental justice struggles? Environmental Justice in a Moment of Danger examines mobilizations and movements, from protests at Standing Rock to activism in Puerto Rico in the wake of Hurricane Maria. Environmental justice movements fight, survive, love, and create in the face of violence that challenges the conditions of life itself. Exploring dispossession, deregulation, privatization, and inequality, this book is the essential primer on environmental justice, packed with cautiously hopeful stories for the future.",Climate_justice
9,A People's Curriculum for the Earth,Bill Bigelow & Tim Swinehart,Rethinking Schools,"A People’s Curriculum for the Earth is a collection of articles, role plays, simulations, stories, poems, and graphics to help breathe life into teaching about the environmental crisis. The book features some of the best articles from Rethinking Schools magazine alongside classroom-friendly readings on climate change, energy, water, food, and pollution—as well as on people who are working to make things better. A People’s Curriculum for the Earth has the breadth and depth ofRethinking Globalization: Teaching for Justice in an Unjust World, one of the most popular books we’ve published. At a time when it’s becoming increasingly obvious that life on Earth is at risk, here is a resource that helps students see what’s wrong and imagine solutions. Praise for A People's Curriculum for the Earth ""To really confront the climate crisis, we need to think differently, build differently, and teach differently. A People’s Curriculum for the Earth is an educator’s toolkit for our times."" — Naomi Klein, author of The Shock Doctrine and This Changes Everything: Capitalism vs. the Climate ""This volume is a marvelous example of justice in ALL facets of our lives—civil, social, educational, economic, and yes, environmental. Bravo to the Rethinking Schools team for pulling this collection together and making us think more holistically about what we mean when we talk about justice."" — Gloria Ladson-Billings, Kellner Family Chair in Urban Education, University of Wisconsin-Madison ""Bigelow and Swinehart have created a critical resource for today’s young people about humanity’s responsibility for the Earth. This book can engender the shift in perspective so needed at this point on the clock of the universe."" — Gregory Smith, Professor of Education, Lewis & Clark College, co-author with David Sobel of Place- and Community-based Education in Schools",Climate_justice
