Unnamed: 0,TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
0,Making Climate Policy Work,Danny Cullenward & David G. Victor,John Wiley & Sons,"For decades, the world’s governments have struggled to move from talk to action on climate. Many now hope that growing public concern will lead to greater policy ambition, but the most widely promoted strategy to address the climate crisis – the use of market-based programs – hasn’t been working and isn’t ready to scale. Danny Cullenward and David Victor show how the politics of creating and maintaining market-based policies render them ineffective nearly everywhere they have been applied. Reforms can help around the margins, but markets’ problems are structural and won’t disappear with increasing demand for climate solutions. Facing that reality requires relying more heavily on smart regulation and industrial policy – government-led strategies – to catalyze the transformation that markets promise, but rarely deliver.",Climate_policy
1,The Design of Climate Policy,R. Guesnerie & Henry Tulkens,Mit Press,"Leading economists offer theoretical, quantitative, and policy perspectives on climate policy. Debates over post-Kyoto Protocol climate change policy often take note of two issues: the feasibility and desirability of international cooperation on climate change policies, given the failure of the United States to ratify Kyoto, and the very limited involvement of developing countries; and the optimal timing of climate policies. These essays by leading international economists in this book offer insights on both these concerns. The book first considers the appropriate institutions for effective international cooperation on climate change, proposing an alternative to the Kyoto arrangement and a theoretical framework for such a scheme. The discussions then turn to the stability of international environmental agreements, emphasizing the logic of coalition forming (including the applicability of game-theoretical analysis). Finally, contributors address both practical and quantitative aspects of policy design, offering theoretical analyses of such specific policy issues as intertemporal aspects of carbon trade and the optimal implementation of a sequestration policy and then using formal mathematical models to examine policies related to the rate of climate change, international trade and carbon leakage, and the shortcomings of the standard Global Warming Potential index. Contributors Philippe Ambrosi, David F. Bradford, Barbara Buchner, Carlo Carraro, Parkash Chander, Stéphane De Cara, Damien Demailly, A. Denny Ellerman, Johan Eyckmans, Michael Finus, Elodie Galko, Roger Guesnerie, Jean-Charles Hourcade, Pierre-Alain Jayet, Gilles Lafforgue, Bernard Magné, Sandrine Mathy, Michel Moreaux, Sushama Murty, William A. Pizer, Philippe Quirion, Katrin Rehdanz, P. R. Shukla, Jaemin Song, Ian Sue Wing, Sylvie Thoron, Richard S. J. Tol, Henry Tulkens",Climate_policy
2,Making Climate Policy Work,Danny Cullenward & David G. Victor,Polity,"For decades the world’s governments have struggled to move from talk to action on climate. Many now hope that growing public concern will lead to greater policy ambition, but progress depends on sound strategy. Yet the most widely promoted climate policy—the use of market-based programs to reduce climate pollution—hasn’t been working and isn’t ready to scale. Danny Cullenward and David Victor show why the elegant theory of markets has failed to have much impact in practice. The reasons, they argue, are deeply rooted in the politics of creating and maintaining effective markets—forces that have caused low prices and led to few climate benefits in nearly every program to date. These problems are structural and won’t disappear with increasing demand for climate solutions. Confronting them requires counterintuitive reforms, but even reformed markets are unlikely to drive the scale of change needed to stabilize the climate. Facing that reality, Cullenward and Victor argue, requires relying more heavily on regulation and industrial policy—strategies that ultimately turn on strengthened government capacities to deliver the benefits markets promise, but rarely deliver.",Climate_policy
3,Loss and Damage from Climate Change,Reinhard Mechler & Laurens M. Bouwer & Thomas Schinko & Swenja Surminski & JoAnne Linnerooth-Bayer,Springer,"This book provides an authoritative insight on the Loss and Damage discourse by highlighting state-of-the-art research and policy linked to this discourse and articulating its multiple concepts, principles and methods. Written by leading researchers and practitioners, it identifies practical and evidence-based policy options to inform the discourse and climate negotiations. With climate-related risks on the rise and impacts being felt around the globe has come the recognition that climate mitigation and adaptation may not be enough to manage the effects from anthropogenic climate change. This recognition led to the creation of the Warsaw International Mechanism on Loss and Damage in 2013, a climate policy mechanism dedicated to dealing with climate-related effects in highly vulnerable countries that face severe constraints and limits to adaptation. Endorsed in 2015 by the Paris Agreement and effectively considered a third pillar of international climate policy, debate and research on Loss and Damage continues to gain enormous traction. Yet, concepts, methods and tools as well as directions for policy and implementation have remained contested and vague. Suitable for researchers, policy-advisors, practitioners and the interested public, the book furthermore: • discusses the political, legal, economic and institutional dimensions of the issue• highlights normative questions central to the discourse • provides a focus on climate risks and climate risk management. • presents salient case studies from around the world.",Climate_policy
4,The Cost of Climate Policy,Mark Jaccard & John Nyboer & Bryn Sadownik,UBC Press,"Reducing greenhouse gas emissions is a major environmental challenge facing the world. We all want to reduce the risks of global warming, but how much will this cost? What will it mean on a personal, business, or community level? And what policy responses should we expect from our governments? The Cost of Climate Policy sheds light on these pressing issues. Using Canada as their focal point, the authors look specifically at the impact of emission reduction policies on energy prices, technology options, and lifestyle choices. The book concludes with concrete proposals for overcoming the constraints of environmental policy making and the high initial costs of action.",Climate_policy
5,Values in Climate Policy,David Morrow,Rowman & Littlefield Publishers,"Children born today in the Maldives may someday have to abandon their homeland. Rising seas, caused by climate change, could swallow most of their tiny island nation within their lifetime. Their fate symbolizes the double inequity at the heart of climate change: those who have contributed the least to climate change will suffer the most from it. All is not lost, however. The scale and impact of climate change depends on the policies that people choose. How quickly will we eliminate our greenhouse gas emissions? How will we do it? Who will pay for it? What will we protect through adaptation? How will we weigh the fortunes of future generations and the natural world against our own? Answers to questions like these reflect a constellation of value judgments that deserve close scrutiny. In addition to providing essential background on the science, economics, and politics of climate change, this book explores the values at stake in climate policy with the aim of shrinking the gap between climate ethics and climate policy.",Climate_policy
6,National Climate Policy,Elin Lerum Boasson,Routledge,"Failed attempts at producing ambitious global climate commitments and instruments have made it increasingly important for nation states to deliver climate policies. This in turn requires a better understanding of national climate policymaking. In this book, Elin Lerum Boasson develops an innovative and well-grounded analytical framework for assessing national climate-policy development. Why do national climate policies emerge and change? This question is underpinned by the role played by different actors and the kind social mechanism at work. Boasson asks, to what extent and how is the emergence and change of climate policy influenced by: politicians and the national political fields; business and organizational fields; EU policy and the European environment; social and entrepreneurial mechanisms? Combining policy studies with sociological new institutionalism, and drawing on three climate policy sub-areas in Norway: renewable energy, low-energy buildings and carbon capture and storage, Boasson presents a multi-field framework that allows the reader to capture the entire policy cycle, explaining policy initiation, policy adoption and the long-term, social feedback effects resulting from implementation (or lack of implementation).",Climate_policy
7,Global Climate Policy,Urs Luterbacher & Detlef F. Sprinz,MIT Press,"Analyses of the international climate change regime consider the challenges of maintaining current structures and the possibilities for creating new forms of international cooperation. The current international climate change regime has a long history, and it is likely that its evolution will continue, despite such recent setbacks as the decision by President Donald Trump to withdraw the United States from the Paris Agreement of 2015. Indeed, the U.S. withdrawal may spur efforts by other members of the international community to strengthen the Paris accord on their own. This volume offers an original contribution to the study of the international political context of climate change over the last three decades, with fresh analyses of the current international climate change regime that consider both the challenges of maintaining current structures and the possibilities for creating new forms of international cooperation. The contributors are leading experts with both academic and policy experience; some are advisors to governments and the Climate Secretariat itself. Their contributions combine substantive evidence with methodological rigor. They discuss such topics as the evolution of the architecture of the climate change regime; different theoretical perspectives; game-theoretical and computer simulation approaches to modeling outcomes and assessing agreements; coordination with other legal regimes; non-state actors; developing and emerging countries; implementation, compliance, and effectiveness of agreements; and the challenges of climate change mitigation after the Paris Agreement. Contributors Michaël Aklin, Guri Bang, Daniel Bodansky, Thierry Bréchet, Lars Brückner, Frank Grundig, Jon Hovi, Yasuko Kameyama, Urs Luterbacher, Axel Michaelowa, Katharina Michaelowa, Carla Norrlof, Matthew Paterson, Lavanya Rajamani, Tora Skodvin, Detlef F. Sprinz, Arild Underdal, Jorge E. Viñuales, Hugh Ward",Climate_policy
8,Flexible Mechanisms for an Efficient Climate Policy,Karl L. Brockmann & Marcus Stronzik,Springer Science & Business Media,"In the Kyoto Protocol to the UN Framework Convention on Climate Change, industrialized countries agreed on binding absolute targets for greenhouse gas emissions and on the admission of flexible market-economy instruments - such as emissions trading, joint implementation and the clean development mechanism - used for reaching the targets. The contributions in this volume reveal that flexible instruments can lower the costs of climate protection considerably - not only in theory, but also in practice. Concerning implementation, it will be necessary to take care of possible loopholes, uncertainties and transaction costs which may be too high if no proper design is chosen.",Climate_policy
9,The Design and Implementation of US Climate Policy,Don Fullerton & Catherine Wolfram,University of Chicago Press,"Economic research on climate change has been crucial in advancing our understanding of the consequences associated with global warming as well as the costs and benefits of the various policies that might reduce emissions of greenhouse gases. As nations work to develop climate policies, economic insights into their design and implementation are ever more important. With a balance between theoretical and empirical approaches, The Design and Implementation of US Climate Policy looks at the possible effects of various climate policies on a range of economic outcomes. The studies that comprise the volume examine topics that include the coordination—or lack thereof—between the federal and state governments, implications of monitoring and enforcing climate policy, and the specific consequences of various climate policies for the agricultural, automotive, and buildings sectors.",Climate_policy
