Unnamed: 0,TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
0,"Understanding Global Warming with Max Axiom, Super Scientist",Agnieszka Biskup,Capstone Classroom,"""In graphic novel format, follows the adventures of Max Axiom as he explains the science behind global warming""--Provided by publisher.",Global_warming
1,The Great Global Warming Blunder,Roy W Spencer,Encounter Books,"The Great Global Warming Blunder unveils new evidence from major scientific findings that explode the conventional wisdom on climate change and reshape the global warming debate as we know it. Roy W. Spencer, a former senior NASA climatologist, reveals how climate researchers have mistaken cause and effect when analyzing cloud behavior and have been duped by Mother Nature into believing the Earth’s climate system is far more sensitive to human activities and carbon dioxide than it really is. In fact, Spencer presents astonishing new evidence that recent warming is not the fault of humans, but the result of chaotic, internal natural cycles that have been causing periods of warming and cooling for millennia. More carbon dioxide in the atmosphere is not necessarily to be feared; The Great Global Warming Blunder explains that burning of fossil fuels may actually be beneficial for life on Earth. As group-think behavior and misguided global warming policy proposals threaten the lives of millions of the world’s poorest, most vulnerable citizens, The Great Global Warming Blunder is a scintillating exposé and much-needed call for debate.",Global_warming
2,Global Warming: A Very Short Introduction,Mark Maslin,"Oxford University Press, UK","Global Warming is one of the most controversial scientific issues of the twenty first century. This book provides an informative, up-to-date, and readable book about the predicted impacts of global warming and the surprises that could be in store for us in the near future. - ;Global Warming is one of the most controversial scientific issues of the twenty-first century. This is a problem that has serious economic, sociological, geopolitical, political, and personal implications. This Very Short Introduction is an informative, up-to-date, and readable book about the predicted impacts of global warming and the surprises that could be in store for us in the near future. It unpacks the controversies that surround global warming, drawing on material from the recent report of the Intergovernmental Panel on Climate Change (IPCC), a huge collaborative study drawing together current thinking on the subject from experts in a range of disciplines, and for the first time presents the findings of the Panel for a general readership. The book also discusses the politics of global warming, and looks at what we can do now to adapt to climate change and mitigate its worst effects. -",Global_warming
3,The Politically Incorrect Guide to Global Warming,Christopher C. Horner,Regnery Publishing,An exposâe of some of the more controversial agendas behind global warming argues that poor-quality science and dishonest politics are contributing to the intentionally disporportionate and self-serving levels of fear.,Global_warming
4,Climate Change,Edmond A. Mathez & Jason Smerdon,Columbia University Press,"This second edition of Climate Change is an accessible and comprehensive guide to the science behind global warming. Exquisitely illustrated, the text is geared toward students at a variety of levels. Edmond A. Mathez and Jason E. Smerdon provide a broad, informative introduction to the science that underlies our understanding of the climate system and the effects of human activity on the warming of our planet. Mathez and Smerdon describe the roles that the atmosphere and ocean play in our climate, introduce the concept of radiation balance, and explain climate changes that occurred in the past. They also detail the human activities that influence the climate, such as greenhouse gas and aerosol emissions and deforestation, as well as the effects of natural phenomena. Climate Change concludes with a look toward the future, discussing climate model projections, exploring the economic and technological realities of energy production, and presenting a view of the global warming challenge through the lens of risk. Each chapter features profiles of scientists who advanced our understanding of the material discussed. This new edition expands on the first edition’s presentation of scientific concepts, making it ideal for classroom use for a wide swath of undergraduate and masters students with both science and nonscience backgrounds.",Global_warming
5,Global Warming,John Houghton,Cambridge University Press,"How much of global warming is due to human activities? How far will it be possible to adapt to changes of climate? Sir John Houghton's definitive, full colour guide to climate change answers these questions and more by providing the best and latest information available, including the latest IPCC findings. The simple, logical flow of ideas gives an invaluable grounding in the science, as well as the physical and human impacts of climate change for undergraduate students across a wide range of disciplines. Accessible to both scientists and non-scientists, the text avoids mathematical equations and includes more technical material in boxes, while simple figures help students to understand the conclusions the science leads to without being overwhelmed by vast amounts of data. Questions for students to consider and test their understanding are included in each chapter, along with carefully selected further reading to expand their knowledge.",Global_warming
6,A Global Warming Primer,Jeffrey Bennett,~Publisher not available~,"Is human-induced global warming a real threat to our future? Most people will express an opinion on this question, but relatively few can back their opinions with solid evidence. Many times we've even heard pundits say ""I am not a scientist"" to avoid the issue altogether. But the truth is, the basic science is not that difficult. Using a question and answer format, this book will help readers achieve three major goals: To see that anyone can understand the basic science of global warming; To understand the arguments about this issue made by skeptics, so that readers will be able to decide for themselves what to believe; To understand why, despite the ""gloom and doom"" that often surrounds this topic, the solutions are ones that will not only protect the world for our children and grandchildren, but that will actually lead us to a stronger economy with energy that is cheaper, cleaner, and more abundant than the energy we use today.",Global_warming
7,An Inconvenient Truth,Al Gore,Penguin,"Former Vice President Al Gore's New York Times #1 bestselling book is a daring call to action, exposing the shocking reality of how humankind has aided in the destruction of our planet and the future we face if we do not take action to stop global warming. Now, Viking has adapted this book for the most important audience of all: today's youth, who have no choice but to confront this climate crisis head-on. Dramatic full-color photos, illustrations, and graphs combine with Gore's effective and clear writing to explain global warming in very real terms: what it is, what causes it, and what will happen if we continue to ignore it. An Inconvenient Truth will change the way young people understand global warming and hopefully inspire them to help change the course of history.",Global_warming
8,Windfall,Mckenzie Funk,Penguin,"A fascinating investigation into how people around the globe are cashing in on a warming world McKenzie Funk has spent the last six years reporting around the world on how we are preparing for a warmer planet. Funk shows us that the best way to understand the catastrophe of global warming is to see it through the eyes of those who see it most clearly—as a market opportunity. Global warming’s physical impacts can be separated into three broad categories: melt, drought, and deluge. Funk travels to two dozen countries to profile entrepreneurial people who see in each of these forces a potential windfall. The melt is a boon for newly arable, mineral-rich regions of the Arctic, such as Greenland—and for the surprising kings of the manmade snow trade, the Israelis. The process of desalination, vital to Israel’s survival, can produce a snowlike by-product that alpine countries use to prolong their ski season. Drought creates opportunities for private firefighters working for insurance companies in California as well as for fund managers backing south Sudanese warlords who control local farmland. As droughts raise food prices globally, there is no more precious asset. The deluge—the rising seas, surging rivers, and superstorms that will threaten island nations and coastal cities—has been our most distant concern, but after Hurricane Sandy and failure after failure to cut global carbon emissions, it is not so distant. For Dutch architects designing floating cities and American scientists patenting hurricane defenses, the race is on. For low-lying countries like Bangladesh, the coming deluge presents an existential threat. Funk visits the front lines of the melt, the drought, and the deluge to make a human accounting of the booming business of global warming. By letting climate change continue unchecked, we are choosing to adapt to a warming world. Containing the resulting surge will be big business; some will benefit, but much of the planet will suffer. McKenzie Funk has investigated both sides, and what he has found will shock us all. To understand how the world is preparing to warm, Windfall follows the money.",Global_warming
9,The Mythology of Global Warming,Ph. D. Bruce Bunker,"Moonshine Cove Publishing, LLC","WANT ACCESS TO SOLID SCIENTIFIC FACTS REFUTING THE INCESSANT MEDIA HYPE SURROUNDING CLIMATE CHANGE? THEN THE MYTHOLOGY OF GLOBAL WARMING IS FOR YOU! The Mythology of Global Warming is intended to provide the general public with a broad spectrum of scientific and factual information on the subject of Climate Change. This book debunks the incessant, emotional, and largely unsubstantiated claims made by the progressive media and climate scientists that industrial societies such as the United States are destroying our planet due to the use of fossil fuels. What causes global warming? What is a greenhouse gas? What impact do carbon dioxide emissions from fossil fuels actually have on the Earth's climate relative to naturally occurring phenomena? Is all ice on Earth really melting, and are sea levels rising at a catastrophic rate? Are all forms of extreme weather, including hurricanes, tornadoes, floods, and droughts increasing dramatically? Are polar bears and other life forms being pushed to the brink of extinction? Will all of this mayhem cease if fossil fuels are replaced by 'green' renewable energy sources? Answers to these questions clearly show that hard facts do not support any of the above dire predictions. The science of global warming is indeed 'settled'; Global Warming is a myth. .."".Global warming proponents can't prove that man is destroying the planet due to global warming, but Dr. Bunker can prove that we are not. He packs a lot of punch in this small package. Read it, and arm yourself for the great debate.""---Phil Valentine, nationally syndicated talk show host of the Phil Valentine Show on Westwood One ""In the past 20 years I have reviewed two dozen books dealing with Anthropomorphic Global Warming. There has not been nor ever will be a more comprehensive and understandable book on this subject which is to critical to the entire world's population.""--Jay Lehr, Ph.D. Science Director, The Heartland Institute ""This is a scholarly work written by a true scientist, yet in a way that makes the topic still accessible to the average person interested in understanding both the science and also the politics of global warming. Highly recommended.""--Dr. Jennifer Marohasy, Senior Fellow, Australia's Institute of Public Affairs, co-author of ""Climate Change: The Facts, 2014"" ""Unlike so many others, Dr. Bunker's book is so much more than a supposition wrapped up in a pretty bow of meaningless numbers. If you've been waiting for a book that gives actual facts in an easily checked form, you've found it.""--G. Dedrick Robinson Ph.D., co-author of Global Warming: Alarmists, Skeptics & Deniers. ""A timely and well researched book not only for the thoughtful engaged reader, but also for the general public. The book is up-to-date and deals honestly with continuing controversies and uncertainties.""--Dr. Sonja A. Boehmer-Christiansen, Department of Geography, Hull University, Former Editor, Energy & Environment.",Global_warming
10,Global Warming,Bharat Raj Singh,BoD – Books on Demand,"Global warming has become perhaps the most complicated issue facing world leaders. It is becoming clear that humans have caused most of the past century's warming by releasing heat-trapping gases as we power our modern lives mainly by the burning of fossil fuels and forests. Whatever the uncertainties of climate models are, mankind has to strive very fast toward reduction in the huge amount of greenhouse gases emitted into the atmosphere in order to preserve natural resources and living organisms by introducing new advances on alternative fuels and other related technologies. This book presents the state-of-the-science fundamentals on the origin of Global Warming. The aim of the book is to create awareness among the energy engineers, academicians, researchers, industry personnel and society as a whole to help to stop the impact of climate change. In this book, chapters received from various authors are placed in three sub- sections - Causes of Global Warming, Impacts / Threats / Consequences of Global Warming and Remedies to the Global Warming.",Global_warming
11,Climate of Corruption,Larry Bell,Greenleaf Book Group,Argues that special interest groups with specific agendas and politics have corrupted the climage change debate.,Global_warming
12,"Encyclopedia of Global Warming and Climate Change, Second Edition",S. George Philander,SAGE Publications,"The First Edition of the Encyclopedia of Global Warming and Climate Change provided a multi-authored, academic yet non-technical resource for students and teachers to understand the importance of global warming, to appreciate the effects of human activity and greenhouse gases around the world, and to learn the history of climate change and the research enterprise examining it. This edition was well received, with notable reviews. Since its publication, the debate over the advent of global warming at least partially brought on by human enterprise has continued to ebb and flow, depending literally on the weather, politics, and media coverage of climate summits and debates. Advances in research also change the discourse as new data is collected and new scientific projects continue to explore and explain global warming and climate change. Thus, a new, Second Edition updates more than half of the original entries and adds new perspectives and content to keep students and researchers up-to-date in a field that has proven provocatively lively.",Global_warming
13,Air Pollution and Global Warming,Mark Z. Jacobson,Cambridge University Press,"New edition of introductory textbook, ideal for students taking a course on air pollution and global warming, whatever their background. Comprehensive introduction to the history and science of the major air pollution and climate problems facing the world today, as well as energy and policy solutions to those problems.",Global_warming
14,Unstoppable Global Warming,Siegfried Fred Singer & Dennis T. Avery,Rowman & Littlefield Publishers,"Argues that global warming is a natural, cyclical phenomenon that has not been caused by human activities and that its negative consequences have been greatly overestimated.",Global_warming
15,Global Warming For Dummies,Elizabeth May & Zoe Caron,John Wiley & Sons,"Get positive suggestions for practical solutions to this heated issue. Hotly debated in the political arena and splashed across the media almost 24/7, global warming has become the topic of the moment. Whatever one's views on its cause, there is no denying that the earth's climate is changing, and people everywhere are worried. Global Warming For Dummies sorts out fact from fiction, explaining the science behind climate change and examining the possible long-term effects of a warmer planet. This no-nonsense yet friendly guide helps you explore solutions to this challenging problem, from what governments and industry can do to what you can do at home and how to get involved.",Global_warming
16,The Discovery of Global Warming,Weart & Spencer R. Weart,Harvard University Press,The author of Scientists in Power and Nuclear Fear illuminates the scientific process that reached consensus in 2001 about global warming by assembling evidence from around the world to show the complex workings of the earth's climate and environment. (Ecology & Environment),Global_warming
