Unnamed: 0,TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
0,Climate Change,Mark Maslin,"Oxford University Press, USA",Previous editions published as: Global warming.,climate
1,Basher Science: Climate Change,Simon Basher,Macmillan,"An introduction to climate change covers such topics as the polar ice caps, the greenhouse effect, global warming, and fossil fuels.",climate
2,Climate Change,Chip Fletcher,John Wiley & Sons,"This book introduces climate change fundamentals and essential concepts that reveal the extent of the damage, the impacts felt around the globe, and the innovation and leadership it will take to bring an end to the status quo. Emphasizing peer-reviewed literature, this text details the impact of climate change on land and sea, the water cycle, human communities, the weather, and humanity’s collective future. Coverage of greenhouse gases, oceanic and atmospheric processes, Pleistocene and Holocene paleoclimate, sea levels, and other fundamental topics provide a deep understanding of key mechanisms, while discussion of extreme weather, economic impacts, and resource scarcity reveals how climate change is already impacting people’s lives—and will continue to do so at an increasing rate for the foreseeable future.",climate
3,The Violence of Climate Change,Kevin J. O'Brien,Georgetown University Press,"Climate change is viewed as a primarily scientific, economic, or political issue. While acknowledging the legitimacy of these perspectives, Kevin J. O’Brien argues that we should respond to climate change first and foremost as a case of systematic and structural violence. Global warming is largely caused by the carbon emissions of the affluent, emissions that harm the poor first and worst. Climate change is violence because it divides human beings from one another and from the earth. O’Brien offers a constructive and creative response to this violence through practical examples of activism and nonviolent peacemaking, providing brief biographies of five Christians in the United States—John Woolman, Jane Addams, Dorothy Day, Martin Luther King Jr., and Cesar Chavez. These activists’ idealism, social commitment, and political savvy offer lessons of resistance applicable to the struggle against climate change and for social justice.",climate
4,Climate Change,David Leonard Downie & Kate Brash & Catherine Vaughan,ABC-CLIO,"An accessible introduction to climate change that outlines key scientific, economic, and political issues, reviews how the global community has addressed the issue to date, and discusses the options being explored for further action. * Numerous primary source documents including excerpts from important early scientific articles on climate change, global climate treaties, the 2007 Intergovernmental Panel on Climate Change assessment reports, and statements from academics, businesses, religious groups, and more * A rich variety of graphics help readers understand current and expected impacts of climate change, as well as the latest data and ideas from the scientific community on the subject of global climate change",climate
5,Climate,Dana Desonie,Infobase Publishing,"Discusses the issue of global warming and what we can do to prevent its rise. This book addresses how people must use energy more efficiently, develop alternative energy sources, and lower emissions technologies.",climate
6,Climate Change,Joseph F. DiMento & Pamela Doughman,MIT Press,"Most of us are familiar with the terms climate change and global warming, but not toomany of us understand the science behind them. We don't really understand how climate change willaffect us, and for that reason we might not consider it as pressing a concern as, say, housingprices or the quality of local education. This book explains the scientific knowledge about globalclimate change clearly and concisely in engaging, nontechnical language, describes how it willaffect all of us, and suggests how government, business, and citizens can take action against it. Ifpeople don't quite understand the seriousness of climate change, it is partly because politiciansand the media have misrepresented the scientific community's strong consensus on it--politicians byselectively parsing the words of mainstream scientists, and the media by presenting""balanced"" accounts that give the views of a small number of contrarians equal weight withempirically supported scientific findings. The science is complex, couched in the technical languageof sinks, forcing, and albedo, and invokes probabilities, risks, ranges, and uncertainties. Policydiscussions use such unfamiliar terms as no regrets policy, clean development mechanism, andgreenhouse-gas intensity. Climate Change explains the nuts and bolts of climate and the greenhouseeffect and describes their interaction. It discusses the nature of consensus in science, and theconsensus on climate change in particular. It describes both public- and private-sector responses,considers how to improve the way scientific findings are communicated, and evaluates the real risksboth to vulnerable developing countries and to particular areas of the United States. We can bettertackle climate change, this book shows us, if we understand it. We can use this knowledge to guideour own behavior and pressure governments and businesses to take action.Joseph F. C. DiMento isDirector of the Newkirk Center for Science and Society, Professor of Planning, Policy, and Design,and Professor of Law and Society at the University of California, Irvine. He is the author of TheGlobal Environment and International Law and other books. Pamela Doughman is Assistant Professor ofEnvironmental Studies at the University of Illinois at Springfield and an energy specialist at theCalifornia Energy Commission.",climate
7,Climate Change from the Streets,Michael Méndez,Yale University Press,"An urgent and timely story of the contentious politics of incorporating environmental justice into global climate change policy Although the science of climate change is clear, policy decisions about how to respond to its effects remain contentious. Even when such decisions claim to be guided by objective knowledge, they are made and implemented through political institutions and relationships—and all the competing interests and power struggles that this implies. Michael Méndez tells a timely story of people, place, and power in the context of climate change and inequality. He explores the perspectives and influence low‑income people of color bring to their advocacy work on climate change. In California, activist groups have galvanized behind issues such as air pollution, poverty alleviation, and green jobs to advance equitable climate solutions at the local, state, and global levels. Arguing that environmental protection and improving public health are inextricably linked, Mendez contends that we must incorporate local knowledge, culture, and history into policymaking to fully address the global complexities of climate change and the real threats facing our local communities.",climate
8,Climate Change,Eileen Claussen & Vicki Arroyo Cochran & Debra P. Davis,BRILL,"It is the greatest environmental challenge of the 21st Century. But what do we truly know about global climate change? And what can we do about it? Most of the world's top scientists agree that emissions of carbon dioxide and other greenhouse gases from human activities such as industrial processes, fossil fuel combustion, and land-use changes are causing the earth to get warmer. Impacts of this warming may include damage to our coastal areas, accelerated rates of species loss, altered agricultural patterns, and increased incidences of infectious diseases. The effects of climate change - and efforts to mitigate climate change - could also have substantial economic ramifications. The book presents the latest research and analysis from prominent scientists, economists, academics, and policy-makers, including: ""Tom Wigley"" and ""Joel Smith,"" who, along with other authors of the Science and Impacts chapter, explain the basic science of climate change, the growing evidence that human activities are changing our climate, and the impacts of these changes; ""Eileen Claussen,"" ""John Gummer,"" ""Henry Lee,"" and other authors of the Global Strategies chapter, who describe what nations are or are not doing to address climate change, and the state of international climate talks; ""Robert Stavins,"" ""John Weyant,"" ""Ev Ehrlich,"" and other economists, who explain why economic analyses of climate policy are conducted, why the projected costs of addressing climate change vary so widely among economic models, and how changes driven by today's economy can influence climate policy; ""Gov. Jean Shaheen"" and other authors of the Innovative Solutions chapter, who describe what state and local governments in theUnited States and multinational companies are doing to monitor and curb greenhouse gas emissions; and ""Forest Reinhardt,"" who offers business leaders advice on steering their companies on a path that is healthy for business as well as the global climate. This publication has also been published in paperback, please click here for details.",climate
9,Encyclical on Climate Change and Inequality,Pope Francis,Melville House,"The complete text of Laudato Si’, the landmark encyclical letter from Pope Francis that, as Time magazine reported, “rocked the international community” In the Encyclical on Climate Change and Inequality, the beloved Pope exhorts the world to combat environmental degradation and its impact on the poor. In a stirring, clarion call that is not merely aimed at Catholic readers but rather at a wide, lay audience, the Pope cites the overwhelming scientific evidence of climate change, and does not hesitate to detail how it is the result of a historic level of unequal distribution of wealth. It is, in short, as the New York Times labeled it, “An urgent call to action . . . intended to persuade followers around the world to change their behavior, in hopes of protecting a fragile planet.” With an insightful and informative introduction by Harvard professor Naomi Oreskes, famed for her bestselling Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming.",climate
