Unnamed: 0,TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
0,Climate,Charles Eisenstein,North Atlantic Books,"A stirring case for a wholesale reimagining of the framing, tactics, and goals we employ in our journey to heal from ecological destruction With research and insight, Charles Eisenstein details how the quantification of the natural world leads to a lack of integration and our “fight” mentality. With an entire chapter unpacking the climate change denier’s point of view, he advocates for expanding our exclusive focus on carbon emissions to see the broader picture beyond our short-sighted and incomplete approach. The rivers, forests, and creatures of the natural and material world are sacred and valuable in their own right—not simply for carbon credits or preventing the extinction of one species versus another. After all, when you ask someone why they first became an environmentalist, they’re likely to point to the river they played in, the ocean they visited, the wild animals they observed, or the trees they climbed when they were a kid. This refocusing away from impending catastrophe and our inevitable doom cultivates meaningful emotional and psychological connections and provides real, actionable steps to caring for the earth. Freeing ourselves from a war mentality and seeing the bigger picture of how everything from prison reform to saving the whales can contribute to our planetary ecological health, we resist reflexive postures of solution and blame and reach toward the deep place where commitment lives.",climate_change
1,Climate of Corruption,Larry Bell,Greenleaf Book Group,Argues that special interest groups with specific agendas and politics have corrupted the climage change debate.,climate_change
2,Climate Change from the Streets,Michael Méndez,Yale University Press,"An urgent and timely story of the contentious politics of incorporating environmental justice into global climate change policy Although the science of climate change is clear, policy decisions about how to respond to its effects remain contentious. Even when such decisions claim to be guided by objective knowledge, they are made and implemented through political institutions and relationships—and all the competing interests and power struggles that this implies. Michael Méndez tells a timely story of people, place, and power in the context of climate change and inequality. He explores the perspectives and influence low‑income people of color bring to their advocacy work on climate change. In California, activist groups have galvanized behind issues such as air pollution, poverty alleviation, and green jobs to advance equitable climate solutions at the local, state, and global levels. Arguing that environmental protection and improving public health are inextricably linked, Mendez contends that we must incorporate local knowledge, culture, and history into policymaking to fully address the global complexities of climate change and the real threats facing our local communities.",climate_change
3,A Kids Book about Climate Change,Zanagee Artis & Olivia Greenspan,~Publisher not available~,~description not available~,climate_change
4,Climate and the Oceans,Geoffrey K. Vallis,Princeton University Press,"Explores climate and oceans, providing a look at the basics of climate, a descriptive overview of the oceans, a brief introduction to dynamics, and coverage of other related topics.",climate_change
5,The New Climate War,Michael E. Mann,PublicAffairs,"Shortlisted for the FT/McKinsey Business Book of the Year award A renowned climate scientist shows how fossil fuel companies have waged a thirty-year campaign to deflect blame and responsibility and delay action on climate change, and offers a battle plan for how we can save the planet. Recycle. Fly less. Eat less meat. These are some of the ways that we've been told can slow climate change. But the inordinate emphasis on individual behavior is the result of a marketing campaign that has succeeded in placing the responsibility for fixing climate change squarely on the shoulders of individuals. Fossil fuel companies have followed the example of other industries deflecting blame (think ""guns don't kill people, people kill people"") or greenwashing (think of the beverage industry's ""Crying Indian"" commercials of the 1970s). Meanwhile, they've blocked efforts to regulate or price carbon emissions, run PR campaigns aimed at discrediting viable alternatives, and have abdicated their responsibility in fixing the problem they've created. The result has been disastrous for our planet. In The New Climate War, Mann argues that all is not lost. He draws the battle lines between the people and the polluters-fossil fuel companies, right-wing plutocrats, and petrostates. And he outlines a plan for forcing our governments and corporations to wake up and make real change, including: A common-sense, attainable approach to carbon pricing- and a revision of the well-intentioned but flawed currently proposed version of the Green New Deal; Allowing renewable energy to compete fairly against fossil fuels Debunking the false narratives and arguments that have worked their way into the climate debate and driven a wedge between even those who support climate change solutions Combatting climate doomism and despair-mongering With immensely powerful vested interests aligned in defense of the fossil fuel status quo, the societal tipping point won't happen without the active participation of citizens everywhere aiding in the collective push forward. This book will reach, inform, and enable citizens everywhere to join this battle for our planet.",climate_change
6,"Energy, Environment, and Climate",Richard Wolfson,W. W. Norton & Company,"Energy, Environment, and Climate, Second Edition, is the most contemporary book for the energy course. Written for non-science majors, the text presents the physical concepts in easy-to-understand language and asks students to apply those concepts to contemporary energy issues. Students learn to analyze the important questions that face today’s citizens and deal with the answers both qualitatively and quantitatively. End-of-chapter questions provide an opportunity for students to practice what they’ve learned and provide instructors with questions that can be debated in class.",climate_change
7,Regeneration,Paul Hawken,Penguin,"A radically new understanding of and practical approach to climate change by noted environmentalist Paul Hawken, creator of the New York Times bestseller Drawdown Regeneration offers a visionary new approach to climate change, one that weaves justice, climate, biodiversity, equity, and human dignity into a seamless tapestry of action, policy, and transformation that can end the climate crisis in one generation. It is the first book to describe and define the burgeoning regeneration movement spreading rapidly throughout the world. Regeneration describes how an inclusive movement can engage the majority of humanity to save the world from the threat of global warming, with climate solutions that directly serve our children, the poor, and the excluded. This means we must address current human needs, not future existential threats, real as they are, with initiatives that include but go well beyond solar, electric vehicles, and tree planting to include such solutions as the fifteen-minute city, bioregions, azolla fern, food localization, fire ecology, decommodification, forests as farms, and the number one solution for the world: electrifying everything. Paul Hawken and the nonprofit Regeneration Organization are launching a series of initiatives to accompany the book, including a streaming video series, curriculum, podcasts, teaching videos, and climate action software. Regeneration is the inspiring and necessary guide to inform the rapidly spreading climate movement.",climate_change
8,Why We Disagree About Climate Change,Mike Hulme,Cambridge University Press,"Climate change is not 'a problem' waiting for 'a solution'. It is an environmental, cultural and political phenomenon which is re-shaping the way we think about ourselves, our societies and humanity's place on Earth. Drawing upon twenty-five years of professional work as an international climate change scientist and public commentator, Mike Hulme provides a unique insider's account of the emergence of this phenomenon and the diverse ways in which it is understood. He uses different standpoints from science, economics, faith, psychology, communication, sociology, politics and development to explain why we disagree about climate change. In this way he shows that climate change, far from being simply an 'issue' or a 'threat', can act as a catalyst to revise our perception of our place in the world. Why We Disagree About Climate Change is an important contribution to the ongoing debate over climate change and its likely impact on our lives.",climate_change
9,The Encyclopedia of Weather and Climate Change,Juliane Loraine Fry & Hans-Friedrich Graf & Richard Grotjahn & Marilyn Raphael & Clive Saunders,~Publisher not available~,"Offers a guide on weather around the world, describing how it forms, specific phenomena, how humans face extreme climates, and the possible long-term consequences and solutions to climate change on Earth.",climate_change
10,How to Avoid a Climate Disaster,Bill Gates,Knopf,"#1 NEW YORK TIMES BEST SELLER • In this urgent, authoritative book, Bill Gates sets out a wide-ranging, practical—and accessible—plan for how the world can get to zero greenhouse gas emissions in time to avoid a climate catastrophe. Bill Gates has spent a decade investigating the causes and effects of climate change. With the help of experts in the fields of physics, chemistry, biology, engineering, political science, and finance, he has focused on what must be done in order to stop the planet's slide to certain environmental disaster. In this book, he not only explains why we need to work toward net-zero emissions of greenhouse gases, but also details what we need to do to achieve this profoundly important goal. He gives us a clear-eyed description of the challenges we face. Drawing on his understanding of innovation and what it takes to get new ideas into the market, he describes the areas in which technology is already helping to reduce emissions, where and how the current technology can be made to function more effectively, where breakthrough technologies are needed, and who is working on these essential innovations. Finally, he lays out a concrete, practical plan for achieving the goal of zero emissions—suggesting not only policies that governments should adopt, but what we as individuals can do to keep our government, our employers, and ourselves accountable in this crucial enterprise. As Bill Gates makes clear, achieving zero emissions will not be simple or easy to do, but if we follow the plan he sets out here, it is a goal firmly within our reach.",climate_change
11,Climate Emergency Atlas,~Author not available~,DK Children,"Our house is on fire--it's time to wake up to the climate crisis facing planet Earth before it's too late. This unique graphic altas tells you everything you need to know about climate change and what we can do to turn things around. Which countries generate the highest CO2 emissions? Which coastal cities are most vulnerable to rising sea levels? What will the polar ice caps look like in 10 years' time? Which countries have successfully harnessed renewable energy sources? Packed with facts and figures and more than 30 dynamic maps, Climate Emergency Atlas is clear and easy to understand, making it the perfect reference guide for all young climate activists.",climate_change
12,Don't Even Think About It,George Marshall,Bloomsbury Publishing USA,"The director of the Climate Outreach and Information Network explores the psychological mechanism that enables people to ignore the dangers of climate change, using sidebars, cartoons and engaging stories from his years of research to reveal how humans are wired to primarily respond to visible threats.",climate_change
13,Climate Realism,Lynn Badia & Marija Cetinic & Jeff Diamanti,Routledge,"This book sets forth a new research agenda for climate theory and aesthetics for the age of the Anthropocene. It explores the challenge of representing and conceptualizing climate in the era of climate change. In the Anthropocene when geologic conditions and processes are primarily shaped by human activity, climate indicates not only atmospheric forces but the gamut of human activity that shape these forces. It includes the fuels we use, the lifestyles we cultivate, the industrial infrastructures and supply chains we build, and together these point to the possible futures we may encounter. This book demonstrates how every weather event constitutes the climatic forces that are as much social, cultural, and economic as they are environmental, natural, and physical. By foregrounding this fundamental insight, it intervenes in the well-established political and scientific discourses of climate change by identifying and exploring emergent aesthetic practices and the conceptual project of mediating the various forces embedded in climate. This book is the first to sustain a theoretical and analytical engagement with the category of realism in the context of anthropogenic climate change, to capture climate's capacity to express embedded histories, and to map the formal strategies of representation that have turned climate into cultural content.",climate_change
14,Dictionary of Global Climate Change,~Author not available~,Springer Science & Business Media,"Climate, climate change, climate fluctuations and climatic trends are only a few of the terms used today, in not only conferences, scientific symposia and workshops, but also parliaments and in discussions throughout society. climatologists these terms may be well known; to the vast majority of people, however, they are new, and they require definition and explanation. The World Meteorological Organization inherited an interest and involvement in the studies of climate and climate change from its predecessor, the International Meteorological Organization (IMO), which was established in 1873. By 1929 the had set up a Commission for Climatology to deal with matters related to climate studies. When, in 1950, the World Meteorological Organization assumed the mantle of the it retained the commission which, among other responsibilities, had already recognized the need for the definition and explanation of terms used in climatology. It must also be said that much of what we now know about climate derives from the scientific and technical programmes - ordinated by and now, to a much greater extent, by In 1979, the First World Climate Conference made an assessment of the status of knowledge of climate and climate variability, and recommended the establishment of a World Climate Programme.",climate_change
15,This Changes Everything,Naomi Klein,Simon and Schuster,"Explains why the environmental crisis should lead to an abandonment of ""free market"" ideologies and current political systems, arguing that a massive reduction of greenhouse emissions may offer a best chance for correcting problems.",climate_change
16,Climate Change,Chip Fletcher,John Wiley & Sons,"This book introduces climate change fundamentals and essential concepts that reveal the extent of the damage, the impacts felt around the globe, and the innovation and leadership it will take to bring an end to the status quo. Emphasizing peer-reviewed literature, this text details the impact of climate change on land and sea, the water cycle, human communities, the weather, and humanity’s collective future. Coverage of greenhouse gases, oceanic and atmospheric processes, Pleistocene and Holocene paleoclimate, sea levels, and other fundamental topics provide a deep understanding of key mechanisms, while discussion of extreme weather, economic impacts, and resource scarcity reveals how climate change is already impacting people’s lives—and will continue to do so at an increasing rate for the foreseeable future.",climate_change
17,"Atmosphere, Weather, and Climate",Roger Graham Barry & Richard J. Chorley,Taylor & Francis,"""From clear explanations of basic physical and chemical principles of the atmosphere to descriptions of regional climates and their changes, this popular text presents a comprehensive coverage of global climatology.""--Cover",climate_change
18,Climate Change,David Leonard Downie & Kate Brash & Catherine Vaughan,ABC-CLIO,"An accessible introduction to climate change that outlines key scientific, economic, and political issues, reviews how the global community has addressed the issue to date, and discusses the options being explored for further action. * Numerous primary source documents including excerpts from important early scientific articles on climate change, global climate treaties, the 2007 Intergovernmental Panel on Climate Change assessment reports, and statements from academics, businesses, religious groups, and more * A rich variety of graphics help readers understand current and expected impacts of climate change, as well as the latest data and ideas from the scientific community on the subject of global climate change",climate_change
19,Storms of My Grandchildren,James Hansen,Bloomsbury Publishing USA,A leading scientist on climate issues offers his views on the growing threat of human-caused climate change and looks at why the proposed solutions are not sufficient to stop a global meltdown.,climate_change
20,Climate Change,Eileen Claussen & Vicki Arroyo Cochran & Debra P. Davis,BRILL,"It is the greatest environmental challenge of the 21st Century. But what do we truly know about global climate change? And what can we do about it? Most of the world's top scientists agree that emissions of carbon dioxide and other greenhouse gases from human activities such as industrial processes, fossil fuel combustion, and land-use changes are causing the earth to get warmer. Impacts of this warming may include damage to our coastal areas, accelerated rates of species loss, altered agricultural patterns, and increased incidences of infectious diseases. The effects of climate change - and efforts to mitigate climate change - could also have substantial economic ramifications. The book presents the latest research and analysis from prominent scientists, economists, academics, and policy-makers, including: ""Tom Wigley"" and ""Joel Smith,"" who, along with other authors of the Science and Impacts chapter, explain the basic science of climate change, the growing evidence that human activities are changing our climate, and the impacts of these changes; ""Eileen Claussen,"" ""John Gummer,"" ""Henry Lee,"" and other authors of the Global Strategies chapter, who describe what nations are or are not doing to address climate change, and the state of international climate talks; ""Robert Stavins,"" ""John Weyant,"" ""Ev Ehrlich,"" and other economists, who explain why economic analyses of climate policy are conducted, why the projected costs of addressing climate change vary so widely among economic models, and how changes driven by today's economy can influence climate policy; ""Gov. Jean Shaheen"" and other authors of the Innovative Solutions chapter, who describe what state and local governments in theUnited States and multinational companies are doing to monitor and curb greenhouse gas emissions; and ""Forest Reinhardt,"" who offers business leaders advice on steering their companies on a path that is healthy for business as well as the global climate. This publication has also been published in paperback, please click here for details.",climate_change
21,Climate and Climate Change,"John P. Rafferty Associate Editor, Earth Sciences","The Rosen Publishing Group, Inc","Introduces the dynamics of Earth's climate, discusses how climate interacts with living things and other parts of the Earth system, and investigates the cause and effect of previous changes.",climate_change
22,Fixing the Climate,Charles F. Sabel & David G. Victor,Princeton University Press,"Solving the global climate crisis through local partnerships and experimentation Global climate diplomacy—from the Kyoto Protocol to the Paris Agreement—is not working. Despite decades of sustained negotiations by world leaders, the climate crisis continues to worsen. The solution is within our grasp—but we will not achieve it through top-down global treaties or grand bargains among nations. Charles Sabel and David Victor explain why the profound transformations needed for deep cuts in emissions must arise locally, with government and business working together to experiment with new technologies, quickly learn the best solutions, and spread that information globally. Sabel and Victor show how some of the most iconic successes in environmental policy were products of this experimentalist approach to problem solving, such as the Montreal Protocol on the ozone layer, the rise of electric vehicles, and Europe’s success in controlling water pollution. They argue that the Paris Agreement is at best an umbrella under which local experimentation can push the technological frontier and help societies around the world learn how to deploy the technologies and policies needed to tackle this daunting global problem. A visionary book that fundamentally reorients our thinking about the climate crisis, Fixing the Climate is a road map to institutional design that can finally lead to self-sustaining reductions in emissions that years of global diplomacy have failed to deliver.",climate_change
23,Climate Change,David Miles,You Are Here Books,"Climate change: would you leave it to chance? In this interactive book for kids, young readers will learn about climate, how climate has changed throughout history, and the driving forces of the greenhouse effect. Using colorful illustrations, simple text, and research from trusted sources like NASA, NOAA, and the United Nations, Interactive Climate Change outlines the causes of climate change and gently explores its consequences like rising sea levels, more extreme weather, and drought. Though not shy about uncomfortable realities, Interactive Climate Change also emphatically teaches hope for the future and includes timely recommendations for what kids can do, short bios of adults and kids who are leading the charge, and brief summaries of successes that have already happened. Most importantly of all, the book's built-in spinner offers readers a choice on every page: spin the arrow and leave climate change to chance, or do something about it!",climate_change
24,Climate Change (A Ladybird Expert Book),HRH The Prince of Wales & Tony Juniper & Emily Schuckburgh,National Geographic Books,"What is climate change? How does it work? Learn from the experts in the ALL-NEW LADYBIRD EXPERT SERIES Learn about one of the most important issues facing our world today in this clear, simple and enlightening introduction. From HRH The Prince of Wales, environmentalist Tony Juniper and climate scientist Dr Emily Shuckburgh, it explains the history, dangers and challenges of global warming and explores possible solutions with which to reduce its impact. You'll learn about . . . - The causes and consequences of climate disruption - Heatwaves, floods and other extreme weather - Disappearing wildlife - Acid oceans - The benefits of limiting warming - Sustainable farming - New, clean technologies - The circular economy Learn about other topics in the Ladybird Experts series including Gravity, Quantum Physics, Climate Change and Evolution. Written by the leading lights and most outstanding communicators in their fields, the Ladybird Expert books provide clear, accessible and authoritative introductions to subjects drawn from science, history and culture. For an adult readership, the Ladybird Expert series is produced in the same iconic small hardback format pioneered by the original Ladybirds. Each beautifully illustrated book features the first new illustrations produced in the original Ladybird style for nearly forty years.",climate_change
