Unnamed: 0,TITLE,AUTHOR,PUBLISHER,DESCRIPTION,Label
0,Building a Resilient Tomorrow,Alice C. Hill & Leonardo Martinez-Diaz,"Oxford University Press, USA","Even under the most optimistic scenarios, significant global climate change is now inevitable. While squarely confronting the scale of the risks we face, Building a Resilient Tomorrow presents replicable sustainability successes and clear-cut policy recommendations that can improve the climate resilience of communities in the US and beyond.",climate_disruption
1,The End of Ice,Dahr Jamail,~Publisher not available~,"""A firsthand chronicle of the catastrophic reality of our planet's changing ecosystems and the necessity of relishing this vulnerable, fragile Earth while we still can""--",climate_disruption
2,Critical Perspectives on Climate Disruption,Robert Chehoski,"The Rosen Publishing Group, Inc","Primary and secondary source documents discuss the evolution of climate change, effects of global warming, how global warming may alter agriculture and industry, the role of governments in preventing climate change.",climate_disruption
3,Transformational Resilience,Bob Doppelt,Greenleaf,"This book calls on all climate programs to expand beyond emission reductions and physical adaption, to focus on assisting individuals and groups to learn skills to use the adversities caused by climate change to learn, grow and flourish. It urges mental health, education, and faith leaders to expand beyond post crisis-treatment to emphasize building preventative personal and psychosocial resilience skills. Failure to proactively help people deal constructively with the harmful mental health and psychosocial impacts of climate disruption will seriously impair the safety and health of individuals as well as the security and social wellbeing of organizations, communities and whole societies for generations to come. It will also delay or completely block efforts to reduce the impacts of climate disruption to manageable levels. Doppelt begins by describing how natural human psychobiological reactions to the traumas and toxic stresses generated by climate disruption damage the psychological, emotional, and social wellbeing of individuals, organizations, communities and whole societies. Using numerous examples, including his own organization's Transformational Resilience program, the author describes methods and skills that may be used to build capacity within all levels of societies to avoid self and socially harmful reactions and use the traumas of climate change as catalysts to find new meaning, direction, and hope in life. Using the author's extensive experience of advising public, private and non-profit sectors on using behavioral and systems change knowledge and tools, this book applies an important new perspective to the question of how to successfully respond to climate change.",climate_disruption
4,Developing Practical Measures to Prevent Climate Disruption,Robert Goble & Gordon Thompson,~Publisher not available~,~description not available~,climate_disruption
5,Drawdown,Paul Hawken,Penguin,"• New York Times bestseller • The 100 most substantive solutions to reverse global warming, based on meticulous research by leading scientists and policymakers around the world “At this point in time, the Drawdown book is exactly what is needed; a credible, conservative solution-by-solution narrative that we can do it. Reading it is an effective inoculation against the widespread perception of doom that humanity cannot and will not solve the climate crisis. Reported by-effects include increased determination and a sense of grounded hope.” —Per Espen Stoknes, Author, What We Think About When We Try Not To Think About Global Warming “There’s been no real way for ordinary people to get an understanding of what they can do and what impact it can have. There remains no single, comprehensive, reliable compendium of carbon-reduction solutions across sectors. At least until now. . . . The public is hungry for this kind of practical wisdom.” —David Roberts, Vox “This is the ideal environmental sciences textbook—only it is too interesting and inspiring to be called a textbook.” —Peter Kareiva, Director of the Institute of the Environment and Sustainability, UCLA In the face of widespread fear and apathy, an international coalition of researchers, professionals, and scientists have come together to offer a set of realistic and bold solutions to climate change. One hundred techniques and practices are described here—some are well known; some you may have never heard of. They range from clean energy to educating girls in lower-income countries to land use practices that pull carbon out of the air. The solutions exist, are economically viable, and communities throughout the world are currently enacting them with skill and determination. If deployed collectively on a global scale over the next thirty years, they represent a credible path forward, not just to slow the earth’s warming but to reach drawdown, that point in time when greenhouse gases in the atmosphere peak and begin to decline. These measures promise cascading benefits to human health, security, prosperity, and well-being—giving us every reason to see this planetary crisis as an opportunity to create a just and livable world.",climate_disruption
6,Climate Change (A Ladybird Expert Book),HRH The Prince of Wales & Tony Juniper & Emily Shuckburgh,Penguin UK,"Part of the new Ladybird Expert series, Climate Change is a clear, simple and enlightening introduction to one of the most important issues facing our world today. From HRH The Prince of Wales, environmentalist Tony Juniper and climate scientist Dr Emily Shuckburgh, it explains the history, dangers and challenges of global warming and explores possible solutions with which to reduce its impact. You'll learn about the causes and consequences of climate disruption; heatwaves, floods and other extreme weather; disappearing wildlife; acid oceans; the benefits of limiting warming; sustainable farming, new clean technologies and the circular economy. Written by the leading lights and most outstanding communicators in their fields, the Ladybird Expert books provide clear, accessible and authoritative introductions to subjects drawn from science, history and culture. Other books currently available in the Ladybird Expert series include: · Quantum Mechanics · Evolution For an adult readership, the Ladybird Expert series is produced in the same iconic small hardback format pioneered by the original Ladybirds. Each beautifully illustrated book features the first new illustrations produced in the original Ladybird style for nearly forty years.",climate_disruption
7,Resilience to Climate Change,Candice Howarth,Springer,"The frequency and intensity of climate shocks such as heatwaves and flooding, are expected to increase under a changing climate with severe implications across the food, energy, water, environment nexus. This book critically explores how to improve resilience to climate shocks by examining the range of challenges and opportunities that exist in the aftermath of shocks and discusses factors that exacerbate and mitigate these. It innovatively discusses the importance of embedding communication, collaboration and co-production within resilience-building across sectors and stakeholders. Doing so with policy, practitioner and scientific communities, Candice Howarth argues, can pave the way to overcome challenges that emerge from climate shocks and facilitate the co-design of sustainable, robust and resilient responses.",climate_disruption
8,How to Change Minds about Our Changing Climate,Seth B. Darling & Douglas L. Sisterson,The Experiment,"The book to spark action on the defining challenge of our time In our post-truth world, there's only one place to turn to if we want to live in reality: science. And the research on climate change is clear: It's real, it threatens us all, and human activity is the primary cause. This essential handbook dismantles all the most pernicious misunderstandings spread by deniers and replaces them with the truth. Faced with an imperiled planet that we must urgently work to save, we don't have time for anything else.",climate_disruption
9,What We Think About When We Try Not To Think About Global Warming,Per Espen Stoknes,Chelsea Green Publishing,"""Today, about 98 percent of scientists affirm that climate change is human made, and about 2 percent still question it. Despite that overwhelming majority, though, about half the population of rich countries, like ours, choose to believe the 2 percent. And, paradoxically, this large camp of deniers grows even larger as more and more alarming proof of climate change has cropped up over the last decades. This disconnect has both climate scientists and activists scratching their heads, growing anxious, and responding, usually, by repeating more facts to 'win' the argument. But, the more climate facts pile up, the greater the resistance to them grows, and the harder it becomes to enact measures to reduce greenhouse gas emissions and prepare communities for the inevitable change ahead. Is humanity up to the task? It is a catch-22 that starts, says psychologist and climate expert Per Espen Stoknes, from an inadequate understanding of the way most humans think, act, and live in the world around them. With dozens of examples, he shows how to retell the story of climate change and apply communication strategies more fit for the task.""--Publisher's description.",climate_disruption
