Publication,Title,Date,Label
NPR,Climate change and a population boom could dry up the Great Salt Lake in 5 years,"Fri, 03 Feb 2023 10:09:26 GMT",climate
Vox.com,Anticipatory cash transfers are a neglected climate change solution,"Fri, 03 Feb 2023 12:00:00 GMT",climate
POLITICO,GOP takes aim at Biden's climate agenda,"Fri, 03 Feb 2023 22:00:00 GMT",climate
The Hill,Oversight chair requests details on Kerry’s international climate negotiations,"Thu, 02 Feb 2023 20:39:00 GMT",climate
The Atlantic,The Most Famous Climate Goal Is Woefully Misunderstood,"Wed, 01 Feb 2023 12:30:00 GMT",climate
The Wall Street Journal,SEC Considers Easing Climate,"Fri, 03 Feb 2023 12:30:00 GMT",climate
The Washington Post,Few signs that rich countries will help poor ones with climate fund,"Thu, 02 Feb 2023 14:30:00 GMT",climate
The Guardian,Jordan Peterson’s ‘zombie’ climate contrarianism follows a well,"Thu, 02 Feb 2023 00:27:00 GMT",climate
The New York Times,How the Inflation Reduction Act Can Save You Money: A Consumer's Guide,"Wed, 01 Feb 2023 10:00:02 GMT",climate
Gothamist,Mayor Adams' record,"Fri, 03 Feb 2023 15:58:00 GMT",climate
Scientific American,A Climate Scientist Is Evaluating the U.S.'s Spy Programs,"Fri, 03 Feb 2023 19:00:15 GMT",climate
Fox Business,SEC considers easing climate,"Fri, 03 Feb 2023 15:29:57 GMT",climate
United Nations,Water – at the center of the climate crisis | United Nations,"Wed, 01 Feb 2023 21:44:57 GMT",climate
University of Colorado Boulder,$7.65 million grant to extend study of how climate change shapes ...,"Fri, 03 Feb 2023 16:48:12 GMT",climate
Canary Media,Chart: LNG expansion plans threaten global climate progress,"Fri, 03 Feb 2023 16:54:00 GMT",climate
POLITICO,World's climate goal is slipping away,"Thu, 02 Feb 2023 23:00:00 GMT",climate
Reuters,Concrete traps CO2 soaked from air in climate,"Fri, 03 Feb 2023 11:24:00 GMT",climate
Columbia University,Meet the Next Generation of Africa's Climate Forecasters,"Fri, 03 Feb 2023 13:30:42 GMT",climate
VTDigger,Julie Moore: There is a line between brave and imprudent on climate action,"Fri, 03 Feb 2023 12:10:00 GMT",climate
Journal & Courier,West Lafayette students advocate for climate legislation at Statehouse,"Fri, 03 Feb 2023 19:23:17 GMT",climate
UN News,Climate change: WMO unveils plans for sustainable monitoring of ...,"Wed, 01 Feb 2023 16:44:52 GMT",climate
Newsweek,Fungal Infections Are Spreading and Climate Change Is to Blame,"Fri, 03 Feb 2023 16:29:14 GMT",climate
Capital Public Radio News,Winter storms in California will become more intense as climate ...,"Fri, 03 Feb 2023 08:04:13 GMT",climate
The Durango Herald,Federal court: U.S. must consider climate impacts of drilling in ...,"Fri, 03 Feb 2023 11:45:26 GMT",climate
Climate Home News,Cables become cool,"Fri, 03 Feb 2023 14:36:00 GMT",climate
International Monetary Fund,Improving Access to Climate Finance,"Thu, 02 Feb 2023 19:09:44 GMT",climate
Reuters,Policy Watch: Europe beefs up Green Deal in response to Biden's ...,"Fri, 03 Feb 2023 16:29:00 GMT",climate
The Wildlife Society,"In California, some songbirds face climate challenges","Fri, 03 Feb 2023 13:33:43 GMT",climate
Bloomberg,South Africa Says Finalizing Climate Plan as Finance Head Quits,"Fri, 03 Feb 2023 08:45:43 GMT",climate
NOLA.com,"Our Views: Fight climate threats with change, adaptability","Fri, 03 Feb 2023 09:30:00 GMT",climate
The Olympian,Thurston youth ‘die’ at council meeting to protest lack of action on climate change,"Fri, 03 Feb 2023 13:00:00 GMT",climate
WTOL,Climate Friday | How does this Toledo winter compare to previous years?,"Fri, 03 Feb 2023 17:09:00 GMT",climate
Colorado Newsline,"As Southeast states warm, TVA criticized on preparations for dealing ...","Fri, 03 Feb 2023 18:50:53 GMT",climate
Daily Planet`,The national platform to support Spanish cities meet their climate goals,"Fri, 03 Feb 2023 12:12:26 GMT",climate
Phys.org,Water crises due to climate change: More severe than previously thought,"Thu, 02 Feb 2023 17:00:03 GMT",climate
UC Davis Health,UC Davis Health recognized as a 2022 Health Care Climate ...,"Fri, 03 Feb 2023 18:59:43 GMT",climate
Arup,What are the effects of climate change?,"Fri, 03 Feb 2023 19:47:47 GMT",climate
Energy News Network,A hidden challenge for Minneapolis climate goals: shoddy insulation,"Fri, 03 Feb 2023 10:59:00 GMT",climate
