Publication,Title,Date,Label
Reuters,Lula's Amazon pledge looks distant as Brazil battles deforestation,"Thu, 02 Feb 2023 10:35:00 GMT",deforestation
Vox.com,Palm oil is actually not that bad for the environment (anymore),"Thu, 02 Feb 2023 12:30:00 GMT",deforestation
National Geographic,Madagascar's sacred trees face existential threats in a changing world,"Fri, 03 Feb 2023 18:21:27 GMT",deforestation
The Guardian,Deforestation piles pressure on South America’s elusive Chacoan peccary,"Tue, 31 Jan 2023 09:31:00 GMT",deforestation
Al Jazeera English,Brazilian Amazon deforestation up 150% in Bolsonaro’s last month,"Sat, 07 Jan 2023 08:00:00 GMT",deforestation
BBC,Climate boss Carney's firm linked with deforestation,"Fri, 16 Dec 2022 08:00:00 GMT",deforestation
Vox.com,Foods like coffee and beef cause deforestation. This EU law could help fix the problem.,"Tue, 10 Jan 2023 08:00:00 GMT",deforestation
New Scientist,Amazon deforestation may shrink Himalayan snow and Antarctic ice,"Thu, 05 Jan 2023 08:00:00 GMT",deforestation
Grist,Indigenous territories in the Brazilian Amazon effectively protect forests. Why is deforestation increasing?,"Fri, 06 Jan 2023 08:00:00 GMT",deforestation
The Guardian,EU ban on deforestation,"Thu, 05 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,Changing circumstances turn 'sustainable communities' into ...,"Wed, 01 Feb 2023 22:59:32 GMT",deforestation
Mongabay.com,Indigenous communities threatened as deforestation rises in ...,"Mon, 30 Jan 2023 17:19:23 GMT",deforestation
Down To Earth Magazine,Warming beyond borders: Amazon deforestation heats up Tibet ...,"Fri, 03 Feb 2023 12:34:34 GMT",deforestation
Forbes,How Digital And Distributed Technology Are Being Used To Prevent Deforestation,"Thu, 26 Jan 2023 09:57:02 GMT",deforestation
Ecosystem Marketplace,Companies Increase Ambition to Protect Biodiversity from ...,"Mon, 30 Jan 2023 20:58:11 GMT",deforestation
Science,The drivers and impacts of Amazon forest degradation,"Thu, 26 Jan 2023 23:06:29 GMT",deforestation
EARTH.ORG,Global Deforestation in 2022: Can the World Reach the Global ...,"Thu, 02 Feb 2023 00:01:25 GMT",deforestation
Mongabay.com,From deforestation to restoration: Policy plots path to Amazon recovery,"Fri, 06 Jan 2023 08:00:00 GMT",deforestation
Reuters Canada,Exclusive: Brazil launches first anti,"Thu, 19 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,Deforestation 'out of control' in reserve in Brazil's cattle capital,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
FoodNavigator.com,What does Europe's deforestation law mean for palm oil? RSPO ...,"Wed, 01 Feb 2023 11:27:12 GMT",deforestation
WRIC ABC 8News,Invasive species to deforestation: Virginia evaluates the state of the forest for 2022,"Fri, 27 Jan 2023 12:45:00 GMT",deforestation
Eco-Business,"Is there a case for 'high forest, low deforestation' carbon credits?","Wed, 01 Feb 2023 05:20:00 GMT",deforestation
Reuters,Despite their net,"Thu, 05 Jan 2023 08:00:00 GMT",deforestation
Green Queen Media,Coffee and Chocolate Drive Deforestation and Human Rights Violations. Can the Industries Change?,"Wed, 01 Feb 2023 07:04:01 GMT",deforestation
Forbes,Brazil Already Has Its Best Tool Against Deforestation,"Fri, 06 Jan 2023 08:00:00 GMT",deforestation
Mongabay.com,Venezuela's Yapacana National Park suffering increasing mining ...,"Wed, 11 Jan 2023 08:00:00 GMT",deforestation
chinadialogue,Coal extraction in Indonesia is driving deforestation,"Mon, 16 Jan 2023 08:00:00 GMT",deforestation
VOA Learning English,Brazil’s President Lula Works to Stop Amazon Deforestation,"Sun, 29 Jan 2023 21:57:24 GMT",deforestation
