,Description,Label
0,in france a plan to cover swaths of asphalt with photovoltaics will bring renewable energy even closer to urban areas where its needed,renewable energy
1,automaker stellantis a hrefhttpswwwreuterscomcompaniesstlami targetblankstlamia is set to invest in a geothermal energy project in germany with lithium developer vulcan energy resources a hrefhttpswwwreuterscomcompaniesvulax,renewable energy
2,general electric co must double its patent royalty payments to siemens gamesa renewable energy as for wind turbines it uses in a renewable energy project off the new jersey coast a boston federal judge said thursday,renewable energy
3,danish renewable energy developer greengo energy said on tuesday that its cooperating on  billion danish crowns  billion project to develop a green energy park,renewable energy
4,the european union and ukraine intend to increase cooperation in renewable energy and hydrogen to foster development in the country whose energy system has been severely damaged by russian attacks a draft document showed,renewable energy
5,oil and gas company camber energy inc a hrefhttpswwwreuterscomcompaniesceia targetblankceiaa said on monday it was buying a renewable diesel facility located near reno nevada,renewable energy
6,portuguese renewable energy provider edp renovaveis a hrefhttpswwwreuterscomcompaniesedprls targetblankedprlsa said on monday it will take legal action against newly created taxes on energy in poland and romania,renewable energy
7,britains energy regulator ofgem said on thursday it planned to fine delta gas and power  pounds  for late payments into a scheme to support renewable energy development arguing the company acted deliberately,renewable energy
8,the refinery arm of indonesian state energy firm pertamina is redesigning its refinery expansion plans to meet shifting demands from a transition towards renewable energy its chief executive said on tuesday,renewable energy
9,coal in the us is now being economically outmatched by renewables to such an extent that its more expensive for  of the countrys coalfired power plants to keep running than it is to build an entirely new solar or wind energy operation nearby a new anal,renewable energy
10,renewable energy generation depends on wind and solar resources and a lowcarbon source of baseload power will be critical to achieving net zero goals,renewable energy
11,the world bank has signed an agreement with four west and central african nations worth  million to fund renewable energy projects,renewable energy
12,top us renewable power producer nextera energy inc a hrefhttpswwwreuterscomcompaniesneen targetblankneena beat wall street estimates for quarterly profit on wednesday helped by sustained demand for alternative energy on the back of a,renewable energy
13,general electric co a hrefhttpswwwreuterscomcompaniesgen targetblankgena forecast a lowerthanexpected  adjusted profit on tuesday as the industrial major struggles persistent problems at its moneylosing renewable energy business,renewable energy
14,european coalfuelled power generation climbed last year as countries scrambled to replace russian gas but the increase was smaller than feared as renewable energy helped to plug the gap researchers said on tuesday,renewable energy
15,the new chief executive of petrobras a   told employees the oil company will drive brazils transition to renewable energy while keeping its oil and gas expansion on track,renewable energy
16,us treasury secretary janet yellen met with local officials in south africas coal mining region of mpumalanga on friday pledging americas firm support to ensure the countrys transition to renewable energy does not leave them behind,renewable energy
17,india may exempt some solar projects from paying duties on equipment imports according to government and industry sources to bring renewableenergy capacity additions back on schedule and lower consumer power tariffs,renewable energy
18,zambias stateowned power utility zesco has signed an agreement with the united arab emirates renewable energy company masdar to develop solar projects worth  billion the southern african countrys president hakainde hichilema said on tuesday,renewable energy
19,south african petrochemical firm sasol a hrefhttpswwwreuterscomcompaniessoljj targetblanksoljja said on tuesday it had signed three wind power purchase deals as it shifts towards renewable energy to meet its carbon emissions targets,renewable energy
20,germany exported more electricity to its neighbours than it imported in  even with an energy crisis at home thanks to more more weatherdriven renewable power and greater demand from france,renewable energy
21,united arab emirates renewable energy company masdar and ethiopia have signed an agreement for the joint development of a solar project with a capacity of  megawatts ethiopias prime minister said on wednesday,renewable energy
22,the united states and united arab emirates announced on sunday that the first  billion of their  billion clean energy partnership would be allocated to fund  new gigawatts of renewable energy projects before  state news agency wam said,renewable energy
23,right now  is invested in renewable energy for every  invested in fossil fuels that must be  to reach our climate goals experts say,renewable energy
24,white house guidance released friday telling agencies how to weigh climate change when permitting major infrastructure could help streamline environmental reviews for indemand projects such as transmission lines and could make approvals for renewable energy ,renewable energy
25,us power consumption will ease in  as weaker economic activity and milder weather drag it from the record high hit the previous year the us energy information administration eia said in its shortterm energy outlook steo on tuesday,renewable energy
