,Description,Label
0,in franc a plan to cover swath of asphalt with photovolta will bring renew energi even closer to urban area where it need,renewable energy
1,automak stellanti a hrefhttpswwwreuterscomcompaniesstlami targetblankstlamia is set to invest in a geotherm energi project in germani with lithium develop vulcan energi resourc a hrefhttpswwwreuterscomcompaniesvulax,renewable energy
2,gener electr co must doubl it patent royalti payment to siemen gamesa renew energi as for wind turbin it use in a renew energi project off the new jersey coast a boston feder judg said thursday,renewable energy
3,danish renew energi develop greengo energi said on tuesday that it cooper on billion danish crown billion project to develop a green energi park,renewable energy
4,the european union and ukrain intend to increas cooper in renew energi and hydrogen to foster develop in the countri whose energi system ha been sever damag by russian attack a draft document show,renewable energy
5,oil and ga compani camber energi inc a hrefhttpswwwreuterscomcompaniesceia targetblankceiaa said on monday it wa buy a renew diesel facil locat near reno nevada,renewable energy
6,portugues renew energi provid edp renovavei a hrefhttpswwwreuterscomcompaniesedprl targetblankedprlsa said on monday it will take legal action against newli creat tax on energi in poland and romania,renewable energy
7,britain energi regul ofgem said on thursday it plan to fine delta ga and power pound for late payment into a scheme to support renew energi develop argu the compani act deliber,renewable energy
8,the refineri arm of indonesian state energi firm pertamina is redesign it refineri expans plan to meet shift demand from a transit toward renew energi it chief execut said on tuesday,renewable energy
9,coal in the us is now be econom outmatch by renew to such an extent that it more expens for of the countri coalfir power plant to keep run than it is to build an entir new solar or wind energi oper nearbi a new anal,renewable energy
10,renew energi gener depend on wind and solar resourc and a lowcarbon sourc of baseload power will be critic to achiev net zero goal,renewable energy
11,the world bank ha sign an agreement with four west and central african nation worth million to fund renew energi project,renewable energy
12,top us renew power produc nextera energi inc a hrefhttpswwwreuterscomcompaniesneen targetblankneena beat wall street estim for quarterli profit on wednesday help by sustain demand for altern energi on the back of a,renewable energy
13,gener electr co a hrefhttpswwwreuterscomcompaniesgen targetblankgena forecast a lowerthanexpect adjust profit on tuesday as the industri major struggl persist problem at it moneylos renew energi busi,renewable energy
14,european coalfuel power gener climb last year as countri scrambl to replac russian ga but the increas wa smaller than fear as renew energi help to plug the gap research said on tuesday,renewable energy
15,the new chief execut of petrobra a told employe the oil compani will drive brazil transit to renew energi while keep it oil and ga expans on track,renewable energy
16,us treasuri secretari janet yellen met with local offici in south africa coal mine region of mpumalanga on friday pledg america firm support to ensur the countri transit to renew energi doe not leav them behind,renewable energy
17,india may exempt some solar project from pay duti on equip import accord to govern and industri sourc to bring renewableenergi capac addit back on schedul and lower consum power tariff,renewable energy
18,zambia stateown power util zesco ha sign an agreement with the unit arab emir renew energi compani masdar to develop solar project worth billion the southern african countri presid hakaind hichilema said on tuesday,renewable energy
19,south african petrochem firm sasol a hrefhttpswwwreuterscomcompaniessoljj targetblanksoljja said on tuesday it had sign three wind power purchas deal as it shift toward renew energi to meet it carbon emiss target,renewable energy
20,germani export more electr to it neighbour than it import in even with an energi crisi at home thank to more more weatherdriven renew power and greater demand from franc,renewable energy
21,unit arab emir renew energi compani masdar and ethiopia have sign an agreement for the joint develop of a solar project with a capac of megawatt ethiopia prime minist said on wednesday,renewable energy
22,the unit state and unit arab emir announc on sunday that the first billion of their billion clean energi partnership would be alloc to fund new gigawatt of renew energi project befor state news agenc wam said,renewable energy
23,right now is invest in renew energi for everi invest in fossil fuel that must be to reach our climat goal expert say,renewable energy
24,white hous guidanc releas friday tell agenc how to weigh climat chang when permit major infrastructur could help streamlin environment review for indemand project such as transmiss line and could make approv for renew energi,renewable energy
25,us power consumpt will eas in as weaker econom activ and milder weather drag it from the record high hit the previou year the us energi inform administr eia said in it shortterm energi outlook steo on tuesday,renewable energy
26,oil major bp plan to build a vast carbon captur project beneath the north sea that would be crucial to britain hit it emiss target power giant orst aim to build a huge offshor windfarm to help the countri meet renew goal,renewable energy
27,produc of clean technolog like renew hydrogen and batteri could receiv faster permit under european union plan to support industri face us and chines competit a draft document show on monday,renewable energy
28,renew energi is like to eventu overtak fortescu metal group a hrefhttpswwwreuterscomcompaniesfmgax targetblankfmgaxa iron ore busi despit strong tailwind for the commod ahead the compani former chief executiv,renewable energy
29,swiss renew power group smartenergi plan to sell a portfolio of solar power project in spain expans newspap report on thursday cite unidentifi market sourc,renewable energy
30,unit arab emir renew energi compani masdar state oil firm abu dhabi nation oil compani adnoc and oil major bp a hrefhttpswwwreuterscomcompaniesbpl targetblankbpla agre to conduct a joint feasibl s,renewable energy
31,oil compani cepsa said on wednesday is to develop a green hydrogen plant in huelva in southern spain with the renew busi of ga grid oper enaga a hrefhttpswwwreuterscomcompaniesenagmc targetblankenagmca and green energi com,renewable energy
32,edp renovavei a hrefhttpswwwreuterscomcompaniesedprl targetblankedprlsa the world fourthlargest renew power produc ha brought onstream the first hybrid windsolar farm in iberia ad gigawatt gw of annual capac,renewable energy
33,refin valero energi corp a hrefhttpswwwreuterscomcompaniesvlon targetblankvlona and darl ingredi inc a hrefhttpswwwreuterscomcompaniesdarn targetblankdarna said on tuesday that their joint ventur had app,renewable energy
34,there are roughli abandon mine in the us thi vast amount of space might be the solut for scientist who have been research way to store renew energi in a studi led by the intern institut for appli system analysi research,renewable energy
35,franc is fall behind in it plan to boost onshor wind and solar power the countri annual renew electr report publish on tuesday show,renewable energy
36,put solar panel on all of america big box store could see huge gain in renew energi suppli,renewable energy
37,germani feder network agenc on monday said it had identifi kilometr mile of it network for upgrad which will be central to plan to acceler the shift to a greener economi,renewable energy
38,us solar energi contract price have soar by a third over the past year as project develop have struggl to get import panel accord to a report publish late on monday,renewable energy
39,australia and germani have earmark million million and million euro million respect toward a joint initi to establish a green hydrogen suppli chain australian minist for climat chang and energi chri bowen said on,renewable energy
40,energi firm plan to build a second major hydrogen product plant in germani that could be scale up to more than gigawatt gw by and cost more than billion euro billion the compani said,renewable energy
41,norway trillion wealth fund which ha face stiff competit buy renew asset believ it financi clout could give it an edg as econom cloud darken becaus it doesnt need extern capit a top execut told reuter,renewable energy
42,india will extend export benefit under a key scheme to domest green hydrogen fuel manufactur two govern offici said as the asian nation aim to becom a global supplier of the clean fuel,renewable energy
43,the indian govern ha approv billion to support product use and export of green hydrogen aim to make india a global hub for the nascent industri from a report the fund announc late wednesday is a first step toward establish the,renewable energy
44,the energi industri is turn wast from dairi farm into renew natur ga but will it actual reduc emissionson an earli august afternoon at pinnacl dairi a farm locat near the middl of california long central valley jersey cow idl,renewable energy
45,leader at davo say we need to pull the lever of govern polici and give more incent to switch to green energi,renewable energy
46,microsoft just forg a strateg allianc with a major solar panel manufactur to tri to make good on it clean energi goal from a report the deal come as suppli chain woe and alleg of labor abus are make it increasingli difficult to deploy so,renewable energy
47,colombian majoritystateown energi compani ecopetrol a hrefhttpswwwreuterscomcompaniesecocn targetblankecocna on thursday said chief execut felip bayon will leav hi post on march follow more than five year in the positi,renewable energy
48,italian energi group eni a hrefhttpswwwreuterscomcompaniesenimi targetblankenimia said on wednesday it will offer it first sustainabilitylink bond for retail investor in itali from jan,renewable energy
49,guyana is in talk with qatar britain the unit arab emir and india on the possibl of alloc offshor block for oil and ga explor under a bid round thi year presid irfaan ali said on monday,renewable energy
50,shell plc a hrefhttpswwwreuterscomcompaniesshel targetblankshella lng canada export project in british columbia plan to start build it propos second phase with natur gaspow turbin and switch to electr as more ren,renewable energy
51,norway sovereign wealth fund one of the world largest investor on tuesday report a record loss of trillion crown billion for bring to an end a threeyear run of soar profit,renewable energy
52,the us depart of the interior will reform it regul for the develop of wind energi facil on the countri outer continent shelf to help meet crucial climat goal it said in a statement on thursday,renewable energy
53,mexican state oil compani pemex newest refineri which is still under construct in mexico southeast will begin to process crude oil in juli the countri energi minist rocio nahl said,renewable energy
54,the philippin depart of energi said on friday it ha approv a lng import termin project the countri seventh such facil as it gear up for the launch of it liquefi natur ga industri thi year,renewable energy
55,kyiv expect the european union to includ russian state nuclear energi compani rosatom in it next round of sanction over the war in ukrain prime minist deni shmyhal said on monday,renewable energy
56,copper price are set for anoth ralli thi year thank to surg demand suppli concern and the metal widespread use in energi transit technolog eurasian resourc group erg chief execut offic told reuter,renewable energy
57,for nearli year nation nonprofit research industri repres and other stakehold have gather annual at the unit nation confer of partiescommonli known as copto talk through implement of the un climat chang treat,renewable energy
58,live roll coverag of busi econom and financi market as equinor chief execut say price will rise amid rewir of energi systemgood morn and welcom to our roll live coverag of busi econom and financi marketshousehold,renewable energy
59,studi suggest tool could be use to reduc energi need for heat and cool offic buildingseveri year we shift our clock forward in the spring and backward in the autumn origin daylight save wa introduc to save energi reduc the number o,renewable energy
60,chaz teplin tore out ga applianc and instal electr one then document the energi save dure the winter storm in late decemb,renewable energy
61,the carbonfre fuel is expect to avoid ton of carbon emiss annual but critic say it expens and ineffici,renewable energy
62,european commiss presid ursula von der leyen set out it a deal industri plana on wednesday design to ensur the european union do,renewable energy
63,algerian state energi compani sonatrach is team up with south africa petrochem group sasol a hrefhttpswwwreuterscomcompaniessoljj targetblanksoljja on a project in sicili to produc low carbon hydrogen and synthet natur g,renewable energy
64,australia governmentown snowi hydro on wednesday name the former boss of contact energi a hrefhttpswwwreuterscomcompaniescennz targetblankcennza denni barn as it new chief execut to replac it longtim head who suddenl,renewable energy
65,us treasuri secretari janet yellen on saturday help kick off a new rural electrif project in seneg that will bring reliabl power to peopl while support some job in us state,renewable energy
66,in canada western oil patch controversi is rage over feder govern legisl intend to help the fossil fuel labour forc transit to a greener economi but union and commun leader are warn politic of the just transit bill obsc,renewable energy
67,environment social and govern esg issu were central to mani of the biggest stori of inde esg investor frequent a ta,renewable energy
68,the construct of finland first industrialscal green hydrogen product facil began on friday it futur oper solut said,renewable energy
69,greenhous ga emiss increas slightli from the previou year in by keep the us just below level and off track to meet it global pledg to slash emiss by accord to estim publish on tuesday by researc,renewable energy
70,europ main industri engin germani may be enter a recess after it economi shrank in the final quarter of,renewable energy
71,french presid emmanuel macron met with iraq prime minist moham shia alsudani on thursday the french presid said sign a set of strateg agreement meant to boost iraq econom cooper with the european countri,renewable energy
72,french startup eolink in collabor with european energi partner will instal a float offshor wind turbin in bulgaria by thi is part of the euback black sea float offshor wind blow project which aim to advanc sustain,renewable energy
