Description,Label
"From retrofitting buildings to rethinking farming, electrifying transport, and prioritizing reforestation, the EU is chasing net zero.",climate
The power to fight human diseases put genome editing on the map. But similar technology could help crops withstand the stress of climate change.,climate
The oil giant's internal climate models correctly forecast the climate change we're seeing now—all while the company pushed denial in public.,climate
From droughts and wildfires to floods and landslides - why extreme weather may be the new norm.,climate
"The Doomsday Clock is now set at 90 seconds to midnight after The Bulletin of the Atomic Scientists weighed the war in Ukraine, nuclear proliferation, disinformation campaigns, and climate change.",climate
"For nearly 30 years, nations, nonprofits, researchers, industry representatives, and other stakeholders have gathered annually at the United Nations’ Conference of Parties—commonly known as COP—to talk through implementation of the U.N.’s climate change treat…",climate
"Angely Mercado covers climate change for Gizmodo. She has written stories about the megadrought in the American West, how California celebrities guzzled water in 2022, and reports of mass tree deaths. She hopes to write more positive climate news in 2023. Rea…",climate
"You might assume that home prices would decline in an area recently wrecked by a hurricane, but a new study finds the opposite is true, and post-storm price hikes could be a major driver of what’s known as climate gentrification. Read more...",climate
"Climate change is depleting sea ice in the Arctic, increasing chances of human and polar bear encounters.",climate
Emission cuts must be accompanied by greater efforts to remove CO2 from the atmosphere a new report says.,climate
The climate activist joins German protesters trying to stop a coal mine from swallowing up a village.,climate
The elite enclave's geography and climate play into the small town's risk for natural disasters.,climate
California and many local governments are scrapping requirements that once made cars the center of the urban landscape.,climate
ClientEarth helps shape new laws and enforce old ones to protect the planet and its most vulnerable inhabitants.,climate
This story was originally published by Grist. You can subscribe to its weekly newsletter here.Read more...,climate
"Climate activists protested in Davos on Sunday against the role of big oil firms at this week's World Economic Forum (WEF), saying they were hijacking the climate debate.",climate
"Denmark said it is optimistic that the United Arab Emirates, which hosts this year's UN climate talks, will push for ambitious action to curb climate change at the conference, following criticism from activists over the oil-producing nation's role.",climate
"While jurisdictions like California
 and New York
 move toward banning the sale of new gasoline-powered cars, one US state wants to go in the opposite direction. Wyoming’s legislature is considering a resolution that calls for a phaseout of new electric veh…",climate
"The connection between weather and climate change has never been clearer. And simultaneous extremes, such as hot and dry weather together, are particularly dangerous.",climate
"Machine learning has already proven useful, but its real-world applications are just beginning.",climate
Dozens of cities and states sued oil giants for deceiving the public. The Supreme Court could soon break these cases out of limbo.,climate
"On the first day of Climate Week NYC, industry experts gathered to discuss what's stopping us from getting climate action done.",climate
"Some ski resorts rely on machines to keep powder on the slopes. But snow guns guzzle water, are energy-intensive, and need cool temperatures to operate.",climate
"If you're looking for economic and investment tailwinds, climate change is hardly one of them.",climate
"Planting a tree in your yard offers a host of benefits, from shading your home from the sun (and thus lowering your energy bills), to increasing your property value. Trees can cost a lot, though, so I’m sure you wouldn’t mind getting one for free.Read more...",climate
"Even as the world smashes through one all-time heat record after another and speeds towards critical warming thresholds, brutal waves of deadly cold can still arrive in bomb cyclones that bring icy weather and deep snow -- and add fuel for those who deny the …",climate
"A return to Davos by corporate titans and their bankers after recent <a href=""/world/europe/hold-snowless-slopes-spoil-holiday-skiing-switzerland-2023-01-04/"">record Alpine temperatures</a> has turned a spotlight on just how quickly they are moving to rein in…",climate
"Environmental, social and governance funds have had a rough ride over the past couple of years, attracting criticism from regulators for greenwash, and from socially minded investors for investing in companies that may be good at managing the increasing risks…",climate
"The United Arab Emirates said on Thursday that Sultan al-Jaber, the head of state oil giant ADNOC, would act as president of the COP28 climate conference it is hosting this year.",climate
"Singapore's sovereign wealth fund Temasek has led the latest funding round for climate tech firm Living Carbon, which aims to increase the carbon-absorbing ability of trees, the startup's chief executive told Reuters.",climate
"The top U.S. securities regulator has cited April as the release date for a long-anticipated rule on companies' climate-related disclosures, according to a recent federal <a href=""https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202210&RIN=3235-AM87"" t…",climate
"U.S. climate envoy John Kerry on Sunday outlined core principles for a ""high-integrity"" carbon offset plan meant to help developing nations speed their energy transition, and next steps including establishing a consultative group.",climate
Switzerland's right-wing Swiss People's Party (SVP) on Thursday called a referendum aimed at blocking a draft law to cut greenhouse gas emissions.,climate
