Description,Label
"Brazil's environmental enforcement agents set out in January on their first mission this year to combat illegal deforestation, with renewed energy after the election of a president who has promised to stop surging Amazon rainforest destruction.",deforestation
"With just 3,000 of the pig-like animals still roaming the Gran Chaco region, a community conservation effort in Argentina is fighting for its futureThe Chacoan peccary is so elusive that scientists believed it was extinct until its “discovery” in 1975. Today,…",deforestation
"Avoided deforestation should not be used as a basis for creating carbon credits, says David Humphreys, while Paul Steele and Anna Ducros introduce biocredits and Dirk Forrister defends current methodologiesYour articles accurately identify the problem of “pha…",deforestation
"The Brazilian government believes that it is possible to increase the area planted with grains by 5% each harvest for several years without deforestation, said the Minister of Agriculture, Carlos Favaro, on Tuesday.",deforestation
"Brazilian President Luiz Inacio Lula da Silva said on Wednesday he had officially launched a bid for the northeastern city of Belem to host the COP30 international climate summit in 2025, fulfilling a promise he made last year.",deforestation
Malaysia on Thursday called on countries producing palm oil to strengthen cooperation following new European Union (EU) legislation aimed at reducing the use of palm oil-based fuels.,deforestation
"Study suggests resilience of up to 2.5m square kilometers of the forest has been weakened Human activity and drought may have degraded more than a third of the Amazon rainforest, double the previous estimate, according to a study that heightens concerns that …",deforestation
"Investigation into Verra carbon standard finds most are ‘phantom credits’ and may worsen global heating<ul><li>‘Nowhere else to go’: Alto Mayo, Peru, at centre of conservation row</li><li>Greenwashing or a net zero necessity? Scientists on carbon offsetting</…",deforestation
"Brazil's mining lobby group asked the country's foreign ministry to work with other governments to improve tactics used to combat the illegal gold trade, it said on Friday.",deforestation
Case brought under Bern convention on nature may set precedent for destruction of biodiversity in warAzerbaijan has launched a landmark legal challenge against Armenia for allegedly destroying its environment and biodiversity during nearly three decades of oc…,deforestation
"This reflection on key moments reveals 2022 as a year of environmental highs and lows, many of which will continue to resonate in the year aheadAs we enter 2023, WWF reflects on key moments from the last 12 months. From celebrating the Year of the Tiger and r…",deforestation
ClientEarth helps shape new laws and enforce old ones to protect the planet and its most vulnerable inhabitants.,deforestation
"Zambia received a 'debt-for-nature swap' proposal as part of its $13 billion restructuring discussions, a move that while complex to secure and not part of current talks, could set an eco-friendly precedent for other debt crises if eventually included.",deforestation
"Carbon credits and offsets do not have a great record but the funds they raise are a vital part in fight against deforestation<ul><li>Revealed: ‘over 90% of rainforest offsets by biggest provider worthless’</li><li>‘Nowhere else to go’: Alto Mayo, Peru, at ce…",deforestation
Journalists and environmental defenders are at greatest risk in Latin America. All those who put them in danger must be held accountableThe murders of the British journalist Dom Phillips and the Brazilian Indigenous expert Bruno Pereira were not only a shocki…,deforestation
A cash-strapped Finnish zoo said on Friday it was preparing to return two giant pandas on loan from China as it could no longer afford their upkeep.,deforestation
"Brazil's delegation arrives at the World Economic Forum (WEF) with a commitment to defend democracy and the sustainability of both its public accounts and the environment, Finance Minister Fernando Haddad said on Monday.",deforestation
"Environmental, social and governance (ESG) issues were central to many of the biggest stories of 2022. Indeed, ESG investors frequently <a href=""https://www.reuters.com/business/finance/florida-pulls-2-bln-blackrock-largest-anti-esg-divestment-2022-12-01/"" ta…",deforestation
"The unrest came after President Lula unveiled ambitious environmental plans that threaten interest groups who rely on exploiting the AmazonThe manufactured mayhem that tore through the centres of power in Brasília on Sunday should be seen, at least in part, a…",deforestation
The Guardian visits the Peruvian Amazon as part of an continuing investigation into forest-based carbon offsetting<ul><li>Revealed: ‘over 90% of rainforest offsets by biggest provider worthless’</li><li>Greenwashing or a net zero necessity? Scientists on carb…,deforestation
"British multinational to spend huge sums on schemes that do not bring genuine carbon reductions, analysis shows<ul><li>More than 90% of rainforest carbon offsets by biggest provider are ‘worthless’</li><li>Greenwashing or a net zero necessity? Scientists on c…",deforestation
A Guardian investigation has found that more than 90% of the carbon offsets verified by the company Verra did not reduce deforestation. Patrick Greenfield reportsCompanies across the world rely on carbon offsetting credits as a way to display their green cred…,deforestation
"The European Union is aiming to enact up to five trade deals in record time to ensure its future as a clean tech leader, by securing supplies of key raw materials, increasing markets for green exports and reducing its reliance on China.",deforestation
Ivory Coast's cocoa regulator on Thursday started distributing electronic cards to cocoa farmers to help track beans from plantations to their export ports and ensure the growers are paid a guaranteed price for their produce.,deforestation
"Singapore's sovereign wealth fund Temasek has led the latest funding round for climate tech firm Living Carbon, which aims to increase the carbon-absorbing ability of trees, the startup's chief executive told Reuters.",deforestation
"Brazil's ministry of health has declared a medical emergency in the Yanomami territory, the country's largest indigenous reservation bordering Venezuela, following reports of children dying of malnutrition and other diseases caused by illegal gold mining.",deforestation
"Export of minerals, wood and energy drives a surprisingly high fraction of deforestation.",deforestation
Changes in temperature and precipitation due to rapid deforestation in the Amazon rainforest could have effects as far away as the Tibetan Plateau and Antarctica,deforestation
"Baby to be named after a rock or pop star as primatologists say only about 18,000 left across AfricaConservationists are celebrating the birth of the “world’s rarest chimpanzee” at a UK zoo.Chester zoo has welcomed the arrival of the male critically endangere…",deforestation
"The cultivation of palm oil—a common ingredient in food and beauty products—causes mass deforestation. Around 47% of Malaysia’s forests have been lost, for instance, in order to make way for palm plantations. While finding a replacement for the oil has proven…",deforestation
"The last members of the species in Pennsylvania were likely snuffed out in the 1920s, officials said.",deforestation
"Sri Lankan mangroves are the home for fishing cats. As the mangroves have been devastated by human activity (poachers), environmental catastrophes, and climate change ""…there is one creature in these swamps who is defying the odds and our expectations at the …",deforestation
German Chancellor Olaf Scholz heads to Argentina on Saturday for the first leg of his inaugural tour of South America as his government seeks to reduce Germany's economic dependence on China and strengthen relations with democracies worldwide.,deforestation
Jair Bolsonaro’s supporters failed in a Trumpian plot to overthrow democracy. President Lula must make sure they never succeedThe storming of the three branches of Brazilian government is the most significant threat to the country’s democracy since the end of…,deforestation
"The guitar-backed message opposing deforestation asks the question, ""Why are we cutting down the rainforests?""",deforestation
New research looked at the methods of coffee preparation that leave the smallest carbon footprint.,deforestation
"The billionaire has purchased 270,00 acres and many want to know why.",deforestation
"While the honeymoon mood created by the new government will run up against political reality, the euphoria is not blindAwe-inspiring storms roll in almost every night during the Amazon rainy season, replenishing the Xingu River and illuminating the night sky …",deforestation
"It is possible to pay farmers a premium while selling single-origin chocolate at a cheaper price – but it means companies have to transform the way it’s madeIs it possible to make an ethical chocolate bar that’s also affordable? Tim McCollum, the founder of t…",deforestation
"Acrid smoke swirls amid the buzzing of dozens of chainsaws under the majestic Nyiragongo volcano, producing scenes of devastation in the heart of the lush natural treasure in eastern DR Congo.",deforestation
"The new president has already taken steps to protect the Amazon, but researchers call for more action.",deforestation
More than 200 hectares (500 acres) of forest have been razed to stumps in Virunga National Park in less than two months.,deforestation
Satellite monitoring detected 218.4 square km of forest cover destroyed in Brazil's share of the Amazon.,deforestation
"An international team of climate scientists has found evidence suggesting that deforestation in the Amazon rainforest is influencing weather in Tibet, more than 15,000 kilometers away. In their paper published in the journal Nature Climate Change, the researc…",deforestation
"Shaking a traditional rattle, Brazil's incoming head of Indigenous affairs recently walked through every corner of the agency's headquarters—even its coffee room—as she invoked help from ancestors during a ritual cleansing.",deforestation
A pair of studies raise concerns that the Amazon rainforest may be approaching a point of no return,deforestation
It beggars belief that the UN thought it a good idea to allow an authoritarian petro-state to host an already compromised Cop28<ul><li>Bill McGuire is professor emeritus of geophysical and climate hazards at UCL </li></ul>There is a battle raging over the hea…,deforestation
"Deforestation in the Brazilian Amazon rose 150 percent in December from the previous year, according to government figures released Friday, a final bleak report for far-right ex-president Jair Bolsonaro in his last month in office.",deforestation
"Brazil this week began the first operations against Amazon deforestation since veteran leftist Luiz Inacio Lula da Silva took office, the Ibama environmental agency said Friday.",deforestation
"A new study published today in PNAS Nexus revealed for the first time that Indigenous peoples, with officially recognized rights to their territories in Brazil's embattled Atlantic Forest, reduced deforestation and improved forest cover, outperforming territo…",deforestation
"More than 2,500 business leaders and politicians are making their way to the Swiss Alps for the World Economic Forum's 53rd annual meeting at Davos.",deforestation
"Most European consumers' shopping baskets tend to include items linked to deforestation in tropical regions, involving agricultural commodities such as beef, soybeans, palm oil, cocoa, rubber, coffee, timber and paper. These so-called ""forest-risk"" commoditie…",deforestation
"Despite a 2013 pledge by major palm oil firms to maintain environmentally friendly operations, a recent report by environmental group Earthqualizer revealed that more than 440,000 hectares of forest and peat land (roughly three times the size of London) have …",deforestation
"Far upriver in the rainforest, the lure of rare pink river dolphins is creating jobs and promoting conservation and reconciliation after a 50-year war“The dolphins are more playful than us,” says Diego Cifuentes, co-founder of Villa Lilia Agroecoturistico, a …",deforestation
"Alleged criminal conspiracies, water wars, quake-safe energy, and deforestation are among the biggest climate topics in the coming year.",deforestation
"Alleged criminal conspiracies, water wars, quake-safe energy, and deforestation are among the biggest climate topics in the coming year.",deforestation
"The Amazon rainforest has been degraded by a much greater extent than scientists previously believed with more than a third of remaining forest affected by humans, according to a new study published on January 27 in the journal Science.",deforestation
The world this week,deforestation
