Description,Label
Operator investigated for possible trickery and causing involuntary injuries over pollution levels within networkProsecutors in Paris have opened a criminal investigation into allegations that pollution in the capital’s Métro system is putting travellers’ liv…,Air pollution
"US study finds bone loss occurs twice as fast among women living in areas with higher air pollutionA study has concluded that air pollution is accelerating osteoporosis in postmenopausal women.Researchers scanned the bones of more than 9,000 women living in f…",Air pollution
"Chiang Mai listed as worst in the world for air quality as pollution worsens during cooler months​​Every December, Dr Nitipatana Chierakul, a specialist in respiratory medicine, notices the same pattern at his hospital department in Bangkok: his patients’ con…",Air pollution
"Research links pollution to increased risk of dementia, even at levels below UK, US and EU air quality standardsExposure to air pollution is linked to an increased risk of dementia, even at levels below UK, US and EU air quality standards, according to resear…",Air pollution
"Shane Topley and Ashleigh Phillip respond to Adrian Chiles’s article about the cost of the bikes increasingly seen on city streetsI was surprised to read Adrian Chiles’s takedown of cargo bikes (£3,999 for a cargo bike?! How a new kind of class politics arriv…",Air pollution
"Study finds no sign of improvement in efforts to reduce smallest particles being emitted on busy London roadTechnologies to clean up traffic exhaust emissions may not be effective for some types of particle pollution, a study has found.If you stand at the edg…",Air pollution
"Study shows high ozone levels make males emit fewer pheromones to attract females, which may lead to population declineAir pollution is making it harder for fruit flies to mate because females cannot easily recognise a male’s scent, a study has found.Female f…",Air pollution
"<ol><li>Space-based NASA instrument to track pollution over North America  Phys.org
</li><li>NASA's TEMPO Could Bring You Hyper-Local Pollution Alerts  Gizmodo
</li><li>NASA, SpaceX launch first space-based air quality instrument  Moneycontrol
</li><li>Spa…",Air pollution
"Whether it’s because they’re concerned about worsening pollution or the now endemic variants of COVID-19, a whole lot of people have found themselves in the market for a home air …read more",Air pollution
"From testing for common toxins like asbestos and radon to running an air purifier, here's how to reduce indoor air pollution.",Air pollution
"A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.",Air pollution
His expedition to Antarctica in 1984 helped prove that humans were responsible for global warming.,Air pollution
"Exactly how airborne particulate matter can contribute to dementia isn’t known, but experts have some leading theories.",Air pollution
The rules would lower emissions of mercury and other toxic pollutants that can harm brain development of young children and contribute to heart attacks and other health problems in adults.,Air pollution
The U.S. Environmental Protection Agency (EPA) on Friday said it was approving California's plans to require a rising number of zero-emission heavy-duty trucks as the state pushes to cut pollution. Reuters reports: California Governor Gavin Newsom said as a r…,Air pollution
"Whether it's a change in the baseballs themselves, better analytics or more robust player training, many have speculated about what could be behind the upward trend in Major League Baseball home runs in recent years.",Air pollution
This story was originally published by Grist. You can subscribe to its weekly newsletter here.Read more...,Air pollution
"A new study found drought and heat waves could make air pollution worse for communities that already have a high pollution burden in California, and deepen pollution inequalities along racial and ethnic lines. The study also found financial penalties for powe…",Air pollution
Government accused of hypocrisy for pushing global target but not following Natural England’s advice at homeThe UK government ignored scientific warnings from Natural England that its nature restoration target was inadequate and would not meet its commitments…,Air pollution
"On May 11, 2020 a deadly threat flew from Los Angeles to New York City in under nine minutes. It was a 20-tonne Chinese Long March 5B rocket body passing around 60 miles overhead.Read more...",Air pollution
Cellular insights into mechanisms underlying pollution-associated cancer.,Air pollution
"Cross-party cooperation is the key to facing down the doubters and delayers<ul><li>Sadiq Khan is the Labour mayor of London </li><li>Chris Skidmore is the Conservative MP for Kingswood</li></ul>There is no greater challenge facing our capital, our country and…",Air pollution
"Cutting greenhouse gas emissions rapidly and immediately will save lives, livelihoods and ecosystems around the world, scientists say. And there are lots of ways to go about it.",Air pollution
"Combination of epidemiology, preclinical models and ultradeep DNA profiling of clinical cohorts unpicks the inflammatory mechanism by which air pollution promotes lung cancer",Air pollution
"Studies in mice suggest that tumour growth is triggered by inflammation caused by tiny particles, rather than genetic mutations.",Air pollution
"Leave it to the conspiracy theorists to ruin even the best ideas that seem so straightforward and helpful, such as 15-minute cities. The idea behind 15-minute cities is that everything you might need would be within a short 15-minute walk or bike ride from yo…",Air pollution
Residents of a Louisiana community known as “Cancer Alley” filed a lawsuit Tuesday alleging the area's petrochemical plants are tantamount to “environmental racism.”,Air pollution
"Filed under:
 Government/Legal,Green,Emissions,Truck,SUV,Electric
 Continue reading U.S. EPA to propose new vehicle pollution cuts, sees big EV jump
U.S. EPA to propose new vehicle pollution cuts, sees big EV jump originally appeared on Autoblog on Sat, 8 Apr…",Air pollution
"Globally, wildfires are becoming more frequent and destructive, generating a significant amount of smoke that can be transported thousands of miles, driving the need for more accurate air pollution forecasts. Researchers have now developed a deep learning mod…",Air pollution
"Historically, nature has used trees to turn carbon dioxide back into oxygen for use by living creatures. The trees play a vital role in the carbon cycle, and have done so for millennia. Recently, h…",Air pollution
"Test relies on visual inspection of ash to then check soil for toxins, which is ‘unlikely to give a complete picture’ of contaminationA plan to test for toxic dioxins near the site of a February train wreck in East Palestine, Ohio, is flawed and unlikely to f…",Air pollution
"New evidence shows that exceeding the World Health Organization (WHO) ozone limit is associated with substantial increases in hospital admissions for heart attack, heart failure and stroke. Even ozone levels below the WHO maximum were linked with worsened hea…",Air pollution
This story was originally published by Grist. You can subscribe to its weekly newsletter here.Read more...,Air pollution
"Nearly 200,000 people in Thailand have been admitted to hospital because of air pollution this week, officials have said, with Bangkok shrouded in a harmful haze.",Air pollution
Exclusive: Labour estimates huge impact on public health and wider economy from halving active travel budgetThe government’s decision this month to slash the budget for cycling and walking in England by more than 50% could cost more than £2bn in the long term…,Air pollution
"The 400,000 gallon leak of water containing tritium occurred in November 2022, but the general public was not notified until last week. Officials said the leak is contained and poses no public danger.",Air pollution
"Air pollution soared in Beijing on Wednesday as the Chinese capital was hit by a huge sandstorm, and dust also shrouded other parts of the country in a sickly orange haze.",Air pollution
"A new study led by North Carolina State University researchers found drought and heat waves could make air pollution worse for communities that already have a high pollution burden in California, and deepen pollution inequalities along racial and ethnic lines.",Air pollution
Une étude extrêmement alarmante vient d’être publiée.,Air pollution
"For the first time, a space-born smog sensor will be able to provide data on the distribution of air pollutants over America non-stop and in real time.",Air pollution
"""No community should have to go through what East Palestine residents have faced,"" EPA Administrator Michael S. Regan said in a statement on Friday.",Air pollution
Cleaner fuels for cooking could improve health and be better for the environment.,Air pollution
"Biden's veto supports free markets in the hard work of analyzing the long-term determinants of financial performance, including both traditional financial information like sales growth, cost margins and productivity, as well as information related to environm…",Air pollution
"America will probably get more killer tornado- and hail-spawning supercells as the world warms, according to a new study that also warns the lethal storms will edge eastward to strike more frequently.",Air pollution
"Sitting on the beach, taking in the breeze, you might think the sea air is better for you than its inland equivalent. But researchers at the University of Houston have found that the air along the Gulf of Mexico coast in Texas can be more polluted due to its …",Air pollution
"Air pollution is a major public health problem: The World Health Organization has estimated that it leads to over 4 million premature deaths worldwide annually. Still, it is not always extensively measured. But now an MIT research team is rolling out an open-…",Air pollution
"If you live along one of the major interstate highways running through Chicago or directly next to Lake Michigan, you are regularly exposed to more air pollution than the rest of the city, a new Northwestern University study has found.",Air pollution
Researchers think global warming could help spawn more dangerous supercell storms. But the science is far from certain.,Air pollution
Rail company faces 58-count civil lawsuit over chemical-releasing derailment and ‘long string’ of other hazardous incidentsThe state of Ohio is suing the rail giant Norfolk Southern over the derailment of a freight train carrying toxic chemicals through the v…,Air pollution
Canadian Pacific’s purchase of Kansas City Southern will be the biggest railroad merger in decades.,Air pollution
Wherever we dig and however deep we dig we find microscopic living organisms. Could they eat the carbon we're pumping into the air?,Air pollution
"The analysis by Media Matters examined news segments on ABC, CBS, NBC and Fox, and found significant gaps in climate and climate justice coverage.",Air pollution
"Norfolk Southern, the railroad company responsible for the train derailment that occurred in East Palestine, Ohio, in February is now facing federal charges after the Justice Department filed a lawsuit on behalf of the Environmental Protection Agency against …",Air pollution
"PFAS, aka forever chemicals, linked to cancer, reproductive issues, and impaired vaccine response are everywhere. We can still do something about it.",Air pollution
Authorities on Friday urged people in the northern Thai city of Chiang Mai to stay indoors and work from home as air pollution spiked to hazardous levels.,Air pollution
