Description,Label
Deforestation in Brazil's Amazon up in February  Reuters,Deforestation
"Satellites show record destruction for the month of February as new government tries to undo damage wreaked under BolsonaroDeforestation in Brazil’s Amazon rainforest rose in February to the highest level on record for the month, highlighting the scale of the…",Deforestation
"Verra will phase out the programme by mid-2025 after a Guardian investigation found it was flawed The world’s leading carbon credit certifier – used by Disney, Shell, Gucci and other big corporations for climate claims – has said it will phase out and replace…",Deforestation
"Goodbye, food standards. Hello, corporate lobbyists. Why are we doing this, for no real economic benefit? Last night, the government announced that Britain has joined a trade deal so contentious that it united Donald Trump, Hillary Clinton and Bernie Sanders …",Deforestation
Outrage as Indigenous communities claim company is operating on illegally deforested land and lacks environmental permitsThe US ambassador to Peru has sparked outrage among Indigenous groups and environmental NGOs by visiting a controversial palm oil company …,Deforestation
"Sophia Hammond, an 11-year-old Girl Scout, has become an outspoken critic of the Girl Scouts' use of palm oil in their cookies. Using her grandmother's recipes, she started making her own cookies after she discovering the connection between palm oil and defor…",Deforestation
How the world's biggest chocolate manufacturers—from Nestlé to Mars to Cadbury—rank on their commitment to environmental and human rights.,Deforestation
"For ProPublica, Al Shaw, Irena Hwang, and Caroline Chen explain the increased risk of spreading disease when there are fewer trees and physical barriers in between people: The implications of such …",Deforestation
Carbon uptake from regrowth does not offset emissions from deforestation.,Deforestation
"Palm oil and soy are two of the world’s largest drivers of deforestation, with the former destroying almost 25 million acres of forests in Indonesia and 47% of tree cover in Malaysia. A new method from agriculture company Terviva offers a climate-friendly alt…",Deforestation
A skin and hair product that uses a yeast oil with properties similar to palm oil aims to help reduce deforestation tied to palm oil production,Deforestation
"The ""Great Atlantic Sargassum Belt"" is a massive bloom of brown algae that stretches from the coast of West Africa to the Gulf of Mexico.",Deforestation
"This supposedly intangible, romantic thing is in fact rooted in something concrete and quantifiable: our material conditions<ul><li>In a series of short essays, writers consider what happiness means to them now, after the reckoning of the past few years</li><…",Deforestation
"The man in the trilby and bomber jacket – a dead ringer for comic Simon Day – was an eco-warrior before it was fashionable. Now he’s back, with big muesli plans and some thoughts on Greta ThunbergYou will remember Dave Angel: Eco Warrior as the Essex-based ex…",Deforestation
The Southeast Asian island-nation unveiled the construction site of its new capital.,Deforestation
"Latest IPCC report highlights key measures countries must take to avoid climate catastropheThe Intergovernmental Panel on Climate Change published the “synthesis report” of its sixth assessment report (AR6) on Monday. Eight years in preparation, this mammoth …",Deforestation
