Post,Label
"Wow, despite the rhetoric of ""keep Utah's air clean"", Utah is doing a lousy job at reducing carbon emissions, one of the most polluted states in the country. Inversion-smog and pulmonary health will not improve until serious carbon reduction happens on every level.",Utah
Xcel to install Form’s long-duration batteries at retiring coal plants | The utility is testing Form’s 100-hour storage tech to achieve its lofty carbon-reduction goals — and at a scale bigger than nearly any battery plant on earth.,energy
Current Climate: Funding For Carbon-Reduction Tech Hits $4.2 Billion,climate
Emission Impossible: Net Zero Carbon Reduction Goal is a Quest for Space Cadets,climatedisalarm
"American Bloomberg Sultan Al-Jaber is the most useful and beneficial partner for the future of sustainability and carbon reduction in our planet, and for countries and activists to deal and cooperate with him positively 😍🇦🇪👏🏻",talentShow
[Business] - Climate change: why Hong Kong needs to do more to help green-tech start-ups with carbon-reduction certification | South China Morning Post,AutoNewspaper
[Business] - Climate change: why Hong Kong needs to do more to help green-tech start-ups with carbon-reduction certification,SCMPauto
Carbon Reduction….,Wallstreetsilver
JPMorgan Chase Pledged Carbon Reduction. Weeks Later It Financed Coal Mining.,globalcollapse
Question: why is there such a dominating emphasis on carbon reduction when methane is worse?,collapse
Companies that are working on carbon reduction?,investing
Virginia Republicans again attempt to roll back Democratic carbon reduction laws,Republican_misdeeds
"Toyota to soon test its hydrogen combustion engine on public roads. Hydrogen combustion could lead to widespread, accessible carbon-reduction solutions faster by modifying current technologies and maximizing current investments",HydrogenSocieties
Virginia Republicans again attempt to roll back Democratic carbon reduction laws,RepublicanValues
Clean energy advocates say North Carolina Carbon Plan risks missing carbon reduction goal and continues reliance on dirty fossil fuels,energy
Virginia Republicans again attempt to roll back Democratic carbon reduction laws,usa
2022 Carbon Neutral Forum | Alibaba will use its technological advantages and platform value to help achieve the goal of carbon reduction,baba
"Three ways to realistically meet carbon reduction goals: renewables (grid and intermittency issues), nuclear (cost, insurance, and public resistance) or CCS (not a new technology, just new at the proposed scale). What wins?",carboncapture
2022 Carbon Neutral Forum | Alibaba will use its technological advantages and platform value to help achieve the goal of carbon reduction,AlibabaStock
More than half UK universities miss carbon reduction targets,climate_news
"Toyota to soon test its hydrogen combustion engine on public roads. Hydrogen combustion could lead to widespread, accessible carbon-reduction solutions faster by modifying current technologies and maximizing current investments",Mirai
Do you work in Carbon Reduction Strategies? Or a Climate Change Specialist?,careerguidance
Most UK universities failing to hit carbon reduction targets | Higher education,climate
"Toyota unveils new Prius, says hybrids vital in carbon reduction",japannews
